environment_steps,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,agent2/mean_episode_returns,agent2/std_episode_returns,agent3/mean_episode_returns,agent3/std_episode_returns,agent4/mean_episode_returns,agent4/std_episode_returns,epsilon,loss,mean_action_mask,mean_battle_won,mean_episode_length,mean_episode_returns,mean_episode_time,std_action_mask,std_battle_won,std_episode_length,std_episode_returns,std_episode_time,updates
50005,10.325099,0.9821991,10.325099,0.9821991,10.325099,0.9821991,10.325099,0.9821991,10.325099,0.9821991,0.7624762500000001,4.197986602783203,5.0,0.0,36.18,51.6255,0.10789877204049844,0.0,0.0,11.661372131957714,4.9109955,0.02527363187469952,1214
100019,11.578408,1.5328245,11.578408,1.5328245,11.578408,1.5328245,11.578408,1.5328245,11.578408,1.5328245,0.5249097500000001,3.597527265548706,5.27,0.01,51.92,57.892036,0.15904986123903656,0.9884836,0.09949874371066199,37.928796448081506,7.6641226,0.09859382889267962,2589
150106,11.148235,2.75674,11.148235,2.75674,11.148235,2.75674,11.148235,2.75674,11.148235,2.75674,0.2869965,3.8282265663146973,8.8,0.06,107.99,55.741177,0.33104821320215705,3.3704598,0.23748684174075835,53.203288432201255,13.783701,0.1534159143996651,3669
200130,13.342377,2.604334,13.342377,2.604334,13.342377,2.604334,13.342377,2.604334,13.342377,2.604334,0.05,3.953059196472168,6.66,0.03,100.54,66.71189,0.2906343903491506,2.8043537,0.17058722109231983,45.717922087514,13.021672,0.1144256438389386,4423
250188,13.802795,1.9096634,13.802795,1.9096634,13.802795,1.9096634,13.802795,1.9096634,13.802795,1.9096634,0.05,3.4800384044647217,5.24,0.04,57.65,69.01397,0.1700819391012192,0.8845338,0.19595917942265423,34.5544136109991,9.548317,0.08298104081928186,5114
300205,11.578238,1.8365973,11.578238,1.8365973,11.578238,1.8365973,11.578238,1.8365973,11.578238,1.8365973,0.05,2.6666054725646973,5.9,0.02,72.04,57.89118,0.20846024419937748,2.2427661,0.13999999999999999,43.03183007960504,9.182987,0.10357478627446028,5785
350269,13.455539,2.6061604,13.455539,2.6061604,13.455539,2.6061604,13.455539,2.6061604,13.455539,2.6061604,0.05,2.6567561626434326,6.19,0.09,78.25,67.277695,0.2299743766518077,2.6821444,0.2861817604250837,39.62104869889236,13.030804,0.09676315399187185,6471
400273,14.613331,2.5850332,14.613331,2.5850332,14.613331,2.5850332,14.613331,2.5850332,14.613331,2.5850332,0.05,3.2183008193969727,6.04,0.15,59.42,73.06666,0.18228431499039288,2.6904275,0.35707142142714254,12.447634313394655,12.925168,0.03229132742375936,7179
450291,14.42228,2.8171723,14.42228,2.8171723,14.42228,2.8171723,14.42228,2.8171723,14.42228,2.8171723,0.05,2.7989776134490967,5.72,0.15,62.78,72.111404,0.18596575623669195,1.8225256,0.3570714214271425,17.825588349336467,14.085863,0.04197972290442641,7922
500296,14.3113,2.8053026,14.3113,2.8053026,14.3113,2.8053026,14.3113,2.8053026,14.3113,2.8053026,0.05,3.2625062465667725,5.64,0.13,58.54,71.556496,0.17303931331145578,1.7636328,0.3363034344160047,12.31131187160816,14.026513,0.03132958678205327,8751
550331,15.8673525,3.066346,15.8673525,3.066346,15.8673525,3.066346,15.8673525,3.066346,15.8673525,3.066346,0.05,3.8554999828338623,7.32,0.31,62.69,79.33676,0.2079300937842345,3.8855636,0.46249324319388707,14.696050489842502,15.33173,0.042465338891512244,9621
