environment_steps,actor_loss,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,agent2/mean_episode_returns,agent2/std_episode_returns,agent3/mean_episode_returns,agent3/std_episode_returns,entropy,loss,mean_episode_length,mean_episode_returns,mean_episode_time,std_episode_length,std_episode_returns,std_episode_time,updates,value_loss
500000,-0.2745409309864044,0.0,0.0,0.0,0.0,0.1,0.29999998,0.0,0.0,3.934922218322754,3.6754801273345947,500.0,0.1,2.132017855199956,0.0,0.29999998,0.000285954336013227,100,7.9000420570373535
1000000,-0.07382458448410034,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.45825756,3.7961559295654297,11.372414588928223,500.0,0.3,1.9358020817002397,0.0,0.45825756,0.00023878599486919688,200,22.892478942871094
1500000,0.11549786478281021,0.1,0.29999998,0.0,0.0,0.1,0.29999998,0.0,0.0,3.464977264404297,8.874831199645996,500.0,0.2,2.1673333540002204,0.0,0.59999996,0.0007828729711681854,300,17.518667221069336
2000000,0.004289137199521065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.924330949783325,0.01133033074438572,500.0,0.0,2.2487078009999095,0.0,0.0,0.00024440708489410084,400,0.014082388021051884
2500000,0.1917814016342163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7799463272094727,0.2143251597881317,500.0,0.0,2.270771647800575,0.0,0.0,0.00040108283603571346,500,0.045087527483701706
3000000,0.38366466760635376,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.29999998,3.8856983184814453,6.937015056610107,500.0,0.1,2.131741821599644,0.0,0.29999998,0.0003031920051295021,600,13.106700897216797
3500000,0.29642894864082336,0.0,0.0,0.0,0.0,0.1,0.29999998,0.0,0.0,3.254237651824951,7.47882604598999,500.0,0.1,2.230662157500774,0.0,0.29999998,0.00024038607241733606,700,14.36479377746582
4000000,0.13788022100925446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.070296764373779,0.1622239500284195,500.0,0.0,2.204615873700459,0.0,0.0,0.0003261484540687888,800,0.04868745058774948
4500000,0.05299391970038414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.214510917663574,0.07662826776504517,500.0,0.0,2.006654136500947,0.0,0.0,0.000420434641495688,900,0.04726869985461235
5000000,-0.08277427405118942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.515131950378418,0.014755204319953918,500.0,0.0,2.4035698225008675,0.0,0.0,0.0004229853468010615,1000,0.19505895674228668
5500000,-1.1177527904510498,0.1,0.29999998,0.0,0.0,0.0,0.0,0.0,0.0,3.614225387573242,6.8966522216796875,500.0,0.1,1.993989645399779,0.0,0.29999998,0.00029226615736901486,1100,16.028810501098633
6000000,1.240352749824524,0.1,0.29999998,0.3,0.45825756,0.0,0.0,0.0,0.0,2.939290761947632,28.647071838378906,500.0,0.4,2.334312281599341,0.0,0.66332495,0.0005914810369934201,1200,54.813438415527344
6500000,0.43939560651779175,0.3,0.45825756,0.2,0.4,0.0,0.0,0.1,0.29999998,3.7261340618133545,36.66523742675781,500.0,0.6,2.1018049614995107,0.0,0.66332495,0.0002562351902737908,1300,72.4516830444336
7000000,0.9399261474609375,0.0,0.0,0.4,0.489898,0.2,0.4,0.5,0.67082036,3.832150459289551,60.08258056640625,500.0,1.1,4.564506383200569,0.0,1.1357816,0.001251875163063657,1400,118.28530883789062
7500000,-0.27691036462783813,0.2,0.4,0.0,0.0,0.1,0.29999998,0.2,0.4,2.3424770832061768,22.358299255371094,500.0,0.5,1.966125456400914,0.0,0.67082036,0.0001880373603127812,1500,45.27042007446289
