environment_steps,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,epsilon,loss,mean_episode_length,mean_episode_returns,mean_episode_time,std_episode_length,std_episode_returns,std_episode_time,updates
100005,0.060595237,0.11004914,0.078452386,0.14528391,0.7624881250000001,0.9929947853088379,50.0,0.13904761,0.01664087505778298,0.0,0.16646485,0.00470049254757774,1971
200008,0.0071428576,0.031134993,0.051428575,0.11161157,0.524981,1.058274507522583,50.0,0.058571436,0.01641804175451398,0.0,0.11265805,0.0016279296501329062,4007
300014,0.026190478,0.081753746,0.069880955,0.10082504,0.28746675,0.7840850949287415,50.0,0.09607143,0.008901824950589799,0.0,0.122486696,0.00032086508893320844,6056
400026,0.01,0.043588992,0.06041667,0.13532048,0.05,1.355492353439331,50.0,0.070416674,0.00940050840144977,0.0,0.13785245,0.0011409868521282693,8091
500060,0.08761905,0.12937492,0.026666667,0.06377043,0.05,0.6616612672805786,50.0,0.11428572,0.009327729206415825,0.0,0.15641244,0.0003853986626912104,10108
600101,0.04722222,0.11788385,0.122777775,0.22877763,0.05,0.5655128955841064,50.0,0.17,0.010623156256042422,0.0,0.25400132,0.0022364538641515435,12124
700119,0.09944444,0.18248878,0.10055556,0.17713338,0.05,0.8453491926193237,48.6,0.2,0.009397804198670201,6.102458520956943,0.29116625,0.002271409461228527,14158
800139,0.04047619,0.14698406,0.039166667,0.095637485,0.05,0.5692875981330872,49.95,0.079642855,0.010481695746420883,0.21794494717703367,0.22316457,0.00211479757491585,16190
900140,0.043333333,0.08809718,0.074285716,0.13897218,0.05,0.6008316874504089,50.0,0.11761905,0.01071087080053985,0.0,0.17574494,0.0024513934436206264,18235
1000174,0.0942262,0.22234428,0.06339286,0.13125338,0.05,0.367689847946167,49.8,0.15761906,0.01115184985101223,0.8717797887081347,0.23391855,0.002593558284921628,20301
1100202,0.100833334,0.116365686,0.07190476,0.12690187,0.05,0.9077209234237671,50.0,0.1727381,0.011067195751820691,0.0,0.17394072,0.0009845498144657138,22373
1200246,0.16853175,0.2333238,0.0988889,0.16809206,0.05,0.4805546998977661,45.8,0.26742062,0.00992744390387088,10.989085494252922,0.341875,0.0032786135056110627,24439
