environment_steps,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,epsilon,loss,mean_episode_length,mean_episode_returns,mean_episode_time,std_episode_length,std_episode_returns,std_episode_time,updates
100034,0.056709956,0.10470411,0.057424247,0.10080131,0.76241925,0.8772615194320679,50.0,0.11413421,0.036153635458322245,0.0,0.14653377,0.022235172383792013,1976
200035,0.029761905,0.076274134,0.0484127,0.11822201,0.524916875,0.9513466954231262,50.0,0.078174606,0.09531718950311188,0.0,0.13684495,0.12540011496531095,4005
300044,0.05,0.12747549,0.0375,0.08926786,0.2873954999999999,1.0296682119369507,50.0,0.0875,0.01325947098666802,0.0,0.1634587,0.004365704807679551,6041
400066,0.035,0.08381528,0.06845238,0.11969318,0.05,0.8306032419204712,50.0,0.10345237,0.01147606035519857,0.0,0.17046933,0.000716545918863222,8065
500105,0.04472222,0.09642491,0.058333337,0.105738156,0.05,0.9225777387619019,50.0,0.10305555,0.01076988959684968,0.0,0.16239409,0.0011127949289042218,10074
600109,0.039166667,0.095637485,0.068333335,0.12120919,0.05,0.5701931715011597,50.0,0.1075,0.010187904254416935,0.0,0.18933178,0.0002287248150212702,12083
700110,0.028749999,0.071271926,0.06583334,0.105471835,0.05,0.7078996300697327,50.0,0.09458334,0.012040279147913679,0.0,0.11143867,0.0013675048798840422,14095
800125,0.08,0.11311253,0.15333334,0.20225123,0.05,0.7657517194747925,50.0,0.23333332,0.012474058300722391,0.0,0.22478385,0.0024651234899432943,16111
900166,0.04916667,0.11942861,0.07416667,0.1320222,0.05,0.43415626883506775,50.0,0.123333335,0.011354741707327776,0.0,0.17507142,0.0015336571878133817,18134
1000179,0.041666668,0.10374916,0.103452384,0.13438673,0.05,0.6583197712898254,50.0,0.14511906,0.012895820950507186,0.0,0.17695694,0.0015398046428796264,20155
1100216,0.06892857,0.13741514,0.1270238,0.18730132,0.05,0.38242462277412415,47.9,0.19595239,0.011280508193885907,9.153687781435416,0.2539485,0.002390035228423641,22184
1200227,0.13000001,0.18458663,0.08178572,0.13214451,0.05,0.5781747698783875,47.8,0.21178572,0.011958983456133864,9.589577675789482,0.2583454,0.003201435335171497,24224
1300273,0.060833335,0.11319538,0.055,0.14568803,0.05,0.4719116985797882,49.4,0.11583333,0.012627758402959443,2.6153393661244047,0.22659773,0.0028492578105558837,26269
1400296,0.07027778,0.11661739,0.06714286,0.1415628,0.05,0.7210726737976074,47.8,0.13742064,0.013351002158015036,9.589577675789482,0.22914599,0.0052053118102495365,28314
1500305,0.16108136,0.18953037,0.11020835,0.17986529,0.05,0.627802312374115,46.6,0.27128968,0.011987135300296358,10.437432634513144,0.32078874,0.0030192330874190126,30381
1600306,0.18041667,0.255757,0.09218254,0.12369559,0.05,0.4980195164680481,47.75,0.27259922,0.011527362404740416,8.728545125048045,0.31256953,0.002790498635206227,32473
1700350,0.084285714,0.1404548,0.07876985,0.17810464,0.05,0.6795614361763,47.95,0.16305557,0.011195729198516347,8.935742834258383,0.25511518,0.002733691102224033,34579
1800361,0.16297619,0.26299718,0.12119047,0.20581526,0.05,0.7292631268501282,46.5,0.28416666,0.011098804100765847,10.27861858422619,0.34519893,0.002731615309563611,36710
1900394,0.16718255,0.20229773,0.14666668,0.22114602,0.05,0.8208379149436951,45.75,0.3138492,0.009527497895760462,12.750980354466869,0.33448812,0.0032172953525931723,38901
2000432,0.14821428,0.19070205,0.116071425,0.13696764,0.05,1.193727731704712,47.9,0.2642857,0.010212424953351729,9.153687781435416,0.27339515,0.0023364892251227527,41101
2100464,0.2620238,0.2403447,0.22916667,0.25776148,0.05,1.1660081148147583,40.35,0.4911905,0.009473475097911433,16.08500854833469,0.42015353,0.0036359898513637547,43344
2200470,0.20729168,0.270647,0.19872025,0.2630721,0.05,1.6308495998382568,46.25,0.4060119,0.009675518693984485,9.622239863981775,0.3496766,0.002023437910234787,45666
2300500,0.23484127,0.2840812,0.25408733,0.27823538,0.05,1.4035007953643799,39.45,0.48892856,0.009187968756305055,16.138385916813366,0.41322818,0.004122474309585134,48036
2400524,0.32083336,0.3478091,0.14759919,0.16458222,0.05,1.1551103591918945,41.25,0.46843258,0.011600545860710553,14.060138690638865,0.39161158,0.004794075177493007,50468
2500527,0.20678571,0.29898286,0.20500001,0.26204854,0.05,1.573269248008728,40.5,0.4117857,0.010170593761722557,15.13770127859577,0.44959888,0.004471778258919455,52979
2600532,0.20138891,0.23784576,0.29337302,0.26181123,0.05,2.0992579460144043,39.1,0.49476188,0.010468520753784105,15.420440979427275,0.4121208,0.00467594438359749,55665
2700547,0.3597222,0.26438186,0.36658734,0.24002616,0.05,1.833988904953003,31.4,0.7263095,0.00908951870223973,15.53512149936395,0.3900967,0.0051332085192768205,58496
2800549,0.26630953,0.21762516,0.32654762,0.24223694,0.05,3.322070360183716,41.45,0.5928572,0.009413902048254385,14.616685670835231,0.34976912,0.00350983444850793,61341
