environment_steps,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,epsilon,loss,mean_episode_length,mean_episode_returns,mean_episode_time,std_episode_length,std_episode_returns,std_episode_time,updates
100026,0.05964286,0.0962019,0.064166665,0.114294335,0.76243825,0.8284748196601868,50.0,0.12380953,0.006876329350052402,0.0,0.15383054,0.0002056354508759002,1974
200026,0.10511905,0.16920058,0.07261905,0.12715824,0.52493825,0.9285632967948914,48.55,0.1777381,0.0076657144934870304,6.320403468133976,0.24477798,0.0012105323833131374,4010
300058,0.110000014,0.15911211,0.054999996,0.114999995,0.28736225000000004,0.9871228933334351,50.0,0.165,0.008020966750336811,0.0,0.18080837,6.254925951444112e-05,6067
400088,0.13952382,0.20659122,0.13666667,0.2522455,0.05,0.8167877793312073,46.5,0.27619046,0.007677727003465406,8.811923740024081,0.34733757,0.0014127661041660909,8097
500109,0.08,0.14477952,0.064166665,0.12761432,0.05,0.6936067938804626,49.85,0.14416668,0.006845204200362787,0.6538348415311009,0.23951773,0.00017503102046963437,10113
600145,0.13075396,0.23550454,0.064166665,0.11319538,0.05,0.6945221424102783,46.45,0.19492063,0.007506124905194156,10.707357283662482,0.31202018,0.0017510386870409661,12146
700160,0.13944444,0.25099126,0.103174604,0.14703311,0.05,0.5144481062889099,47.4,0.24261904,0.007018956309184432,6.288083968904996,0.36597794,0.0009165292252943253,14190
800200,0.0929762,0.1603841,0.075,0.18607795,0.05,0.5946803689002991,48.85,0.1679762,0.007952543703140691,5.012733785071775,0.26953968,0.0008836586010174416,16250
900236,0.14452381,0.26731756,0.102142856,0.19025865,0.05,0.3005679249763489,44.4,0.24666667,0.006522968600620516,13.466254119093403,0.35235715,0.0019711761710484634,18332
1000256,0.05791667,0.11982265,0.05511905,0.08941427,0.05,0.9349085092544556,50.0,0.113035716,0.008083318648277781,0.0,0.17381258,0.0002783076636583175,20415
1100267,0.061785717,0.10788493,0.1322619,0.22173233,0.05,0.7777307629585266,48.35,0.19404761,0.007335489601246081,7.192183256842112,0.27756482,0.0010958689706202205,22506
