environment_steps,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,epsilon,loss,mean_action_mask,mean_battle_won,mean_episode_length,mean_episode_returns,mean_episode_time,std_action_mask,std_battle_won,std_episode_length,std_episode_returns,std_episode_time,updates
100029,9.882354,0.3121529,9.882354,0.3121529,0.7624311250000001,16.598316192626953,2.0,0.0,32.03,19.764708,0.05510861126997042,0.0,0.0,0.17058722109231986,0.6243058,0.0021353811350430336,2332
200045,9.3050995,2.1988645,9.3050995,2.1988645,0.5248931250000001,26.824440002441406,2.46,0.0,41.44,18.610199,0.08214380117075053,1.6273907,0.0,32.01259752035127,4.397729,0.07359432283403056,4669
300137,6.6070595,3.1440933,6.6070595,3.1440933,0.28717462499999996,33.59495162963867,3.18,0.0,60.56,13.214119,0.13329265540349297,2.1834834,0.0,50.31288502958264,6.2881866,0.11872429157963357,5896
400284,0.09411765,0.93645877,0.09411765,0.93645877,0.05,33.823707580566406,9.37,0.0,149.69,0.1882353,0.3729537179385079,1.1802965,0.0,3.0844610550305216,1.8729175,0.028732062817725973,6632
500332,0.6839216,2.3327262,0.6839216,2.3327262,0.05,32.1962890625,8.86,0.0,142.18,1.3678432,0.33441322284867053,2.0446026,0.0,28.529766911070272,4.6654525,0.07066364826025093,7341
600465,6.8078437,3.2231383,6.8078437,3.2231383,0.05,22.242977142333984,3.23,0.0,61.57,13.615687,0.1312843413167866,2.6565201,0.0,41.43627758377917,6.4462767,0.09655216805330688,8390
700471,8.307452,2.7523866,8.307452,2.7523866,0.05,15.403116226196289,2.74,0.0,55.59,16.614904,0.11479274873505346,1.8418471,0.0,40.03176114037453,5.504773,0.08939240755356152,9495
800472,10.371765,1.161903,10.371765,1.161903,0.05,11.336423873901367,2.73,0.0,59.96,20.74353,0.12148119003279134,1.3917973,0.0,49.210958129262224,2.323806,0.1030912382078561,11709
900506,9.054119,1.0281584,9.054119,1.0281584,0.05,6.884698867797852,4.76,0.0,131.56,18.108238,0.2666838616877794,1.6069847,0.0,41.62699124366305,2.0563169,0.08511568440117748,12710
1000519,9.920001,0.66222095,9.920001,0.66222095,0.05,6.524210453033447,3.81,0.0,100.87,19.840002,0.209750661663129,1.8204122,0.0,57.73485169288997,1.3244419,0.12258883617310937,13598
1100544,10.447058,0.6235171,10.447058,0.6235171,0.05,4.154784679412842,2.36,0.0,50.59,20.894115,0.10150583417736925,0.9541489,0.0,41.76148823976464,1.2470342,0.08551834722636652,14595
1200610,9.7454605,1.7152812,9.7454605,1.7152812,0.05,3.8259706497192383,4.69,0.01,134.0,19.490921,0.28074458791175855,2.1104267,0.09949874371066199,39.23136500301767,3.4305625,0.08362871361005092,15503
1300708,9.218541,1.3294542,9.218541,1.3294542,0.05,3.978905200958252,3.08,0.01,138.54,18.437082,0.28843314006808213,1.963059,0.09949874371066199,22.232147894434313,2.6589084,0.047178174523131014,16257
1400789,10.00157,0.826808,10.00157,0.826808,0.05,6.219488620758057,4.57,0.0,123.65,20.00314,0.252527363327099,1.9710655,0.0,47.126717475334516,1.653616,0.09803486807495929,17119
1500839,11.030587,0.9398369,11.030587,0.9398369,0.05,4.651486873626709,2.27,0.0,97.32,22.061174,0.196442962490255,1.0849422,0.0,50.46798589204843,1.8796738,0.10351934408317741,18460
1600861,10.47843,0.64294595,10.47843,0.64294595,0.05,2.4951934814453125,2.07,0.0,55.77,20.95686,0.10887557711277623,0.69649124,0.0,25.548720124499386,1.2858919,0.05286726642915812,20470
