environment_steps,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,epsilon,loss,mean_episode_length,mean_episode_returns,mean_episode_time,std_episode_length,std_episode_returns,std_episode_time,updates
100028,0.07309524,0.15458433,0.035,0.08381527,0.7624335,0.9616000652313232,50.0,0.10809524,0.016320029099006206,0.0,0.16063827,0.0010241495923639997,1974
200065,0.0325,0.07790218,0.035,0.08381527,0.5248456250000001,1.0645935535430908,50.0,0.067499995,0.012773916497826577,0.0,0.10401323,0.002557572857009601,3999
300072,0.036785714,0.088619664,0.05476191,0.16854388,0.28732900000000006,0.7390016913414001,50.0,0.09154762,0.012916414704523049,0.0,0.21089444,0.002272459661923311,6044
400076,0.075,0.1440968,0.082499996,0.13493569,0.05,1.0461972951889038,50.0,0.1575,0.013167147856438532,0.0,0.20120987,0.002174441316441298,8073
500123,0.068333335,0.11044155,0.09303571,0.16244671,0.05,0.5574585795402527,50.0,0.16136907,0.013704864608007484,0.0,0.1782332,0.002146802525134048,10089
600153,0.08416667,0.15523057,0.11999999,0.15816659,0.05,0.778522789478302,50.0,0.20416668,0.013391760500962847,0.0,0.25499865,0.002523176455152823,12110
700186,0.12666667,0.2578975,0.058809526,0.106618024,0.05,0.5828114748001099,49.05,0.18547618,0.010920493802404962,4.14095399636364,0.27473643,0.0018430250248392909,14135
800198,0.08428572,0.14711975,0.10666666,0.19793378,0.05,0.46904274821281433,50.0,0.19095239,0.011227435464388692,0.0,0.24890189,0.0013488428852808571,16164
900206,0.034285717,0.08310308,0.10630952,0.17719832,0.05,0.6731512546539307,50.0,0.14059524,0.010734247855725697,0.0,0.20759869,0.0016881771307200376,18217
1000221,0.087142855,0.12620036,0.09636905,0.13951623,0.05,0.4572567343711853,50.0,0.18351191,0.01118437700206414,0.0,0.20547642,0.0012546001972110678,20270
1100261,0.05928572,0.13823044,0.043333333,0.08881815,0.05,0.6305826902389526,50.0,0.10261905,0.010977249898132868,0.0,0.16263473,0.001732917847171954,22347
1200287,0.1138889,0.201633,0.06319444,0.1275568,0.05,1.0541019439697266,48.2,0.17708334,0.010285079191089608,7.846018098373213,0.25972128,0.0018819738770193412,24451
