environment_steps,actor_loss,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,agent2/mean_episode_returns,agent2/std_episode_returns,agent3/mean_episode_returns,agent3/std_episode_returns,entropy,loss,mean_episode_length,mean_episode_returns,mean_episode_time,std_episode_length,std_episode_returns,std_episode_time,updates,value_loss
500000,-0.15557710826396942,0.0,0.0,0.0,0.0,0.1,0.29999998,0.0,0.0,2.7790920734405518,3.5423102378845215,500.0,0.1,2.0681436648999805,0.0,0.29999998,0.0003399953926611062,100,7.395774841308594
1000000,0.2871358394622803,0.0,0.0,0.0,0.0,0.1,0.29999998,0.0,0.0,3.8190183639526367,4.46536922454834,500.0,0.1,2.3493437160010218,0.0,0.29999998,0.00021443985114537765,200,8.356467247009277
1500000,-0.17155210673809052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.027093887329102,-0.15399138629436493,500.0,0.0,2.068683906996739,0.0,0.0,0.00025166241158223877,300,0.03512143716216087
2000000,0.3764649033546448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9086389541625977,0.4141160249710083,500.0,0.0,2.1282493257021997,0.0,0.0,0.00028993594617386463,400,0.07530226558446884
2500000,0.21119292080402374,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.29999998,3.782606601715088,6.098299503326416,500.0,0.1,1.9999961975001497,0.0,0.29999998,0.0005104144220259957,500,11.774212837219238
3000000,-0.3924034535884857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.913231134414673,-0.3349471092224121,500.0,0.0,2.2487972124989026,0.0,0.0,0.00030474546489936785,600,0.11491268128156662
3500000,0.15356320142745972,0.0,0.0,0.2,0.4,0.1,0.29999998,0.0,0.0,3.4302566051483154,22.00128173828125,500.0,0.3,2.0666199979023077,0.0,0.45825756,0.00035589860589135754,700,43.695438385009766
4000000,-0.12182553857564926,0.0,0.0,0.1,0.29999998,0.1,0.29999998,0.0,0.0,4.063222408294678,14.151996612548828,500.0,0.2,2.0337927579006645,0.0,0.4,0.0002894454777371577,800,28.547643661499023
4500000,0.13662104308605194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.187164783477783,0.42781537771224976,500.0,0.0,2.1325485038003533,0.0,0.0,0.0009141452653539436,900,0.582388699054718
5000000,0.8844127058982849,0.1,0.29999998,0.1,0.29999998,0.1,0.29999998,0.0,0.0,3.904859781265259,21.22800064086914,500.0,0.3,2.266552387898264,0.0,0.64031243,0.0002530232833330594,1000,40.68717575073242
5500000,-0.1546991467475891,0.0,0.0,0.0,0.0,0.1,0.29999998,0.1,0.29999998,4.306334495544434,12.4547119140625,500.0,0.2,2.0887550835963338,0.0,0.4,0.0013057537457609452,1100,25.218822479248047
6000000,-1.3110638856887817,0.0,0.0,0.1,0.29999998,0.1,0.29999998,0.0,0.0,3.245771646499634,11.630536079406738,500.0,0.2,2.2825812284994753,0.0,0.4,0.00031683758051352456,1200,25.88319969177246
6500000,0.09092629700899124,0.0,0.0,0.0,0.0,0.2,0.4,0.1,0.29999998,2.858790397644043,15.844193458557129,500.0,0.3,2.1382177381019574,0.0,0.64031243,0.00017031479223802252,1300,31.506534576416016
7000000,0.007442479021847248,0.0,0.0,0.2,0.4,0.0,0.0,0.2,0.4,1.6581275463104248,17.97952651977539,500.0,0.4,2.0295893239002907,0.0,0.66332495,0.0002983545660613687,1400,35.94416809082031
7500000,0.5186290740966797,0.1,0.29999998,0.0,0.0,0.3,0.45825756,0.4,0.489898,1.9365603923797607,30.562522888183594,500.0,0.8,2.359924598300131,0.0,0.97979593,0.00045309487091012215,1500,60.08778762817383
8000000,-0.3800317049026489,0.3,0.45825756,0.4,0.48989797,0.0,0.0,0.0,0.0,1.8755922317504883,24.10345458984375,500.0,0.7,2.1707223848992725,0.0,0.64031243,0.00046643131132198393,1600,48.96697235107422
8500000,-0.14847908914089203,0.3,0.45825756,0.2,0.4,0.3,0.45825756,0.0,0.0,1.3947162628173828,24.9006290435791,500.0,0.8,2.3243160126003204,0.0,0.7483315,0.0002721544721855203,1700,50.09821701049805
9000000,-0.6605764627456665,0.3,0.45825756,0.1,0.29999998,0.1,0.29999998,0.1,0.29999998,2.3808717727661133,15.887681007385254,500.0,0.6,2.0332936040023926,0.0,0.66332495,0.00020291063765167042,1800,33.09651565551758
9500000,-0.2782231867313385,0.3,0.64031243,0.3,0.45825756,0.1,0.29999998,0.3,0.45825756,1.9342060089111328,24.95722770690918,500.0,1.0,2.8455857859997193,0.0,1.183216,0.00029119496542683623,1900,50.47090148925781
10000000,-0.1069367304444313,0.3,0.45825756,0.1,0.29999998,0.2,0.4,0.1,0.29999998,1.5664054155349731,18.156850814819336,500.0,0.7,2.082938638504129,0.0,0.9,0.0006491202820767835,2000,36.5275764465332
10500000,-0.2380458265542984,0.1,0.29999998,0.3,0.45825756,0.4,0.66332495,0.2,0.4,1.47684907913208,23.791025161743164,500.0,1.0,2.3068522001980454,0.0,0.8944272,0.00021923059193967607,2100,48.058143615722656
11000000,-0.8165715932846069,0.0,0.0,0.2,0.4,0.3,0.45825756,0.5,0.67082036,1.6696079969406128,19.112022399902344,500.0,1.0,1.9598756694002077,0.0,1.0,0.0004498380584495147,2200,39.8571891784668
11500000,0.19905337691307068,0.5,0.92195445,0.7,0.64031243,0.1,0.29999998,0.6,0.66332495,2.338236093521118,35.778194427490234,500.0,1.9,2.363977820899163,0.0,1.6999999,0.0003247994873133696,2300,71.15827941894531
12000000,-0.15268896520137787,0.1,0.29999998,0.3,0.45825756,0.1,0.29999998,0.3,0.45825756,1.6430621147155762,14.571283340454102,500.0,0.8,1.8177383343019755,0.0,0.97979593,0.0006423879252510499,2400,29.44794464111328
12500000,-0.6121479272842407,0.1,0.29999998,0.4,0.48989797,0.3,0.45825756,0.4,0.489898,1.5485285520553589,19.420747756958008,500.0,1.2,6.12870413579949,0.0,0.59999996,0.0008526451040228968,2500,40.065792083740234
13000000,0.04864899441599846,0.4,0.48989797,0.5,0.67082036,0.6,0.48989797,0.6,0.66332495,1.9755363464355469,31.02608871459961,500.0,2.1,1.9207662419968983,0.0,1.3,0.00029330843465154625,2600,61.95487976074219
13500000,-0.2407250702381134,0.6,0.8,0.7,0.45825756,0.6,0.66332495,0.3,0.64031243,1.7584956884384155,28.379243850708008,500.0,2.2,2.054235903598601,0.0,1.4696939,0.0006314985197272115,2700,57.23993682861328
14000000,-0.38725003600120544,0.8,0.74833155,0.5,0.67082036,0.3,0.45825756,0.4,0.489898,1.5651293992996216,24.454017639160156,500.0,2.0,2.0267001886008074,0.0,1.0954452,0.00033514801428992185,2800,49.68253707885742
14500000,-0.6268699169158936,0.7,0.45825756,0.2,0.4,0.4,0.489898,0.4,0.48989797,1.3447645902633667,20.346431732177734,500.0,1.7,2.243598633901274,0.0,0.781025,0.0007948544643061,2900,41.94660186767578
15000000,-0.605996310710907,1.1,0.29999998,0.9,0.7,1.4,0.8,0.7,0.64031243,1.6736546754837036,42.106285095214844,500.0,4.1,1.8639113857992924,0.0,1.6999999,0.00037691034877539544,3000,85.424560546875
15500000,-0.20920349657535553,0.6,0.66332495,0.6,0.48989797,0.4,0.48989797,0.7,0.9,1.2471429109573364,21.954313278198242,500.0,2.3,4.513068226297037,0.0,1.4177446,0.0005077247706994599,3100,44.32703399658203
16000000,-0.4945125877857208,0.8,0.6,0.8,0.74833155,0.6,0.66332495,0.5,0.5,1.5704020261764526,23.049541473388672,500.0,2.7,1.9361441597997326,0.0,1.3453624,0.00042637451318263623,3200,47.08810806274414
16500000,0.028609760105609894,1.1,0.53851646,0.8,0.97979593,0.7,0.45825756,1.2,1.0770329,1.6930824518203735,32.038421630859375,500.0,3.8,2.2296873589017197,0.0,1.6613247,0.0006446233540355608,3300,64.01962280273438
17000000,-0.2000865787267685,0.5,0.5,0.6,0.48989797,0.4,0.48989797,0.4,0.489898,1.300613284111023,15.801013946533203,500.0,1.9,2.116583847401489,0.0,1.0440307,0.0003411414374792992,3400,32.002201080322266
17500000,-0.1389029175043106,0.5,0.67082036,0.8,0.6,0.4,0.48989797,0.5,0.67082036,1.0264776945114136,17.393924713134766,500.0,2.2,8.357270679798967,0.0,1.6,0.0008432074441185917,3500,35.06565475463867
18000000,-0.09060242027044296,0.8,0.6,0.7,0.45825756,0.5,0.67082036,0.6,0.66332495,1.1923744678497314,18.68648338317871,500.0,2.6,6.077703711099457,0.0,1.4282856,0.0005329659677267262,3600,37.55417251586914
18500000,-0.04286959394812584,0.7,0.64031243,0.9,0.7,0.7,0.64031243,0.8,0.8717798,1.2178370952606201,21.7691707611084,500.0,3.1,2.1393137611987187,0.0,2.118962,0.0017026210548309053,3700,43.624080657958984
19000000,-0.14493240416049957,0.7,0.64031243,0.5,0.67082036,0.5,0.67082036,0.7,0.45825756,1.2418084144592285,16.37188148498535,500.0,2.4,5.8167120681988305,0.0,1.4966629,0.0003834390789159958,3800,33.033626556396484
19500000,0.0028100525960326195,0.7,0.64031243,0.5,0.5,0.6,0.66332495,0.3,0.45825756,1.0459575653076172,13.703211784362793,500.0,2.1,2.1932739203009985,0.0,1.3,0.0006463545732911652,3900,27.400802612304688
20000000,-0.2947319746017456,1.3,1.4177446,0.9,0.7,1.1,0.7,1.0,0.8944272,1.33488130569458,25.94045639038086,500.0,4.3,2.1457156200995087,0.0,2.8999999,0.0006112413363274563,4000,52.470375061035156
