environment_steps,actor_loss,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,agent2/mean_episode_returns,agent2/std_episode_returns,agent3/mean_episode_returns,agent3/std_episode_returns,entropy,loss,mean_episode_length,mean_episode_returns,mean_episode_time,std_episode_length,std_episode_returns,std_episode_time,updates,value_loss
500000,-0.26071904972195625,0.0,0.0,0.1,0.29999998,0.1,0.29999998,0.1,0.29999998,2.2302658557891846,11.758995294570923,500.0,0.3,2.1352423084012115,0.0,0.64031243,0.0006108168362206614,100,24.0394287109375
1000000,-0.024998823180794716,0.1,0.29999998,0.0,0.0,0.0,0.0,0.0,0.0,2.0593634247779846,5.563225984573364,500.0,0.1,2.316294933597965,0.0,0.29999998,8.145523696015111e-05,200,11.176449537277222
1500000,-0.03455743787344545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9640748500823975,-0.01664994703605771,500.0,0.0,2.3882848390960136,0.0,0.0,0.0001847467025436681,300,0.0358149828389287
2000000,0.04497444070875645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4997899234294891,0.06938154995441437,500.0,0.0,1.8458790287011653,0.0,0.0,0.00023729743568120035,400,0.04881422221660614
2500000,0.16780317411758006,0.2,0.4,0.1,0.29999998,0.0,0.0,0.1,0.29999998,2.2340038418769836,31.926047325134277,500.0,0.4,1.8448790793001535,0.0,0.48989797,0.0003495494975838703,500,63.51648712158203
3000000,-0.4882816672325134,0.1,0.29999998,0.1,0.29999998,0.1,0.29999998,0.0,0.0,1.090635508298874,20.457950592041016,500.0,0.3,1.781035620898183,0.0,0.45825756,0.0003634914976390225,600,41.89246368408203
3500000,-0.49124909564852715,0.2,0.4,0.2,0.4,0.3,0.45825756,0.3,0.45825756,1.3671459555625916,52.555718421936035,500.0,1.0,1.804763145801553,0.0,1.183216,0.00031224076218532997,700,106.09393501281738
4000000,-0.06650245725177228,0.2,0.4,0.2,0.4,0.0,0.0,0.1,0.29999998,2.468333065509796,17.304490566253662,500.0,0.5,1.7591535452986136,0.0,0.67082036,0.0002529009984465086,800,34.74198627471924
4500000,-0.3038062918931246,0.2,0.4,0.2,0.4,0.2,0.4,0.1,0.29999998,1.516376107931137,21.927934169769287,500.0,0.7,1.7386407768965,0.0,1.0049876,0.0003488838387635478,900,44.463480949401855
5000000,-0.03089582733809948,0.3,0.45825756,0.4,0.48989797,0.4,0.48989797,0.3,0.45825756,0.754523515701294,37.59843826293945,500.0,1.4,1.7570815978004248,0.0,1.1135529,0.00029884807876774634,1000,75.25866889953613
5500000,0.4027403090149164,0.3,0.45825756,0.2,0.4,0.2,0.4,0.0,0.0,1.1737250685691833,16.11604356765747,500.0,0.7,1.7656623419970856,0.0,0.90000004,0.00024081168936169033,1100,31.42660617828369
6000000,0.1686776988208294,0.4,0.489898,0.6,0.66332495,0.6,0.66332495,0.4,0.489898,0.6800351291894913,36.30485534667969,500.0,2.0,1.7381136084979516,0.0,1.3416407,0.0002846691577863122,1200,72.27235412597656
6500000,0.24149296712130308,0.2,0.4,0.6,0.48989797,0.7,0.64031243,0.4,0.489898,1.983234316110611,27.360999584197998,500.0,1.9,1.7470266356001958,0.0,0.7,0.0003395049707364516,1300,54.239012718200684
7000000,-0.0195216522552073,0.4,0.48989797,0.4,0.489898,0.6,0.66332495,0.4,0.489898,2.540107846260071,22.00969648361206,500.0,1.8,1.7796360244974494,0.0,1.077033,0.00027301387504990673,1400,44.05843639373779
7500000,-0.07501690089702606,0.4,0.489898,0.4,0.489898,0.3,0.45825756,0.2,0.4,2.568110466003418,14.071089029312134,500.0,1.3,1.7573778797013802,0.0,0.64031243,0.0003764503123127899,1500,28.292211532592773
