environment_steps,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,epsilon,loss,mean_episode_length,mean_episode_returns,mean_episode_time,std_episode_length,std_episode_returns,std_episode_time,updates
100009,0.097500004,0.18946378,0.07309524,0.11646751,0.762478625,1.9204994440078735,50.0,0.17059524,0.008887441793922335,0.0,0.18763699,0.002526928014984743,1975
200032,0.075833336,0.120355375,0.09833334,0.140327,0.5249240000000001,1.9195581674575806,50.0,0.17416668,0.01791334795707371,0.0,0.17428227,0.01053360428152851,4019
300045,0.1322619,0.14418526,0.06642857,0.107859775,0.287393125,1.461260199546814,50.0,0.19869049,0.011260364553891122,0.0,0.2052451,0.004031665848389125,6082
400071,0.047500003,0.09906157,0.1388889,0.19230571,0.05,1.5180306434631348,50.0,0.1863889,0.007416276945150457,0.0,0.19787821,0.0014278831930583916,8137
500105,0.058333337,0.17697302,0.07470238,0.14304893,0.05,1.2502375841140747,47.4,0.1330357,0.008112454193178565,8.54049178911847,0.30048195,0.0020620980262065144,10160
600150,0.07488096,0.11940299,0.12857144,0.22507872,0.05,1.5999947786331177,50.0,0.2034524,0.010196416804683394,0.0,0.25329292,0.003345759027072774,12193
700160,0.11916667,0.20257202,0.14416666,0.19960204,0.05,1.3646013736724854,48.7,0.26333335,0.01011629800486844,4.648655719667784,0.33281627,0.003160627014232272,14244
800176,0.09166667,0.17147237,0.15833333,0.24269897,0.05,0.81805020570755,43.3,0.25,0.009820422893972136,15.96590116466966,0.36124784,0.004522711040280465,16315
900194,0.1111508,0.16807464,0.08527778,0.20071074,0.05,1.302504301071167,46.8,0.19642857,0.010901868855580688,9.785703858180053,0.3178331,0.0031008727257552634,18425
1000195,0.058779765,0.094546765,0.097648814,0.14252646,0.05,0.6336002349853516,50.0,0.15642856,0.010511637598392553,0.0,0.18240039,0.0022191032180030245,20552
1100222,0.17095238,0.28576645,0.10380952,0.17350823,0.05,1.3728911876678467,44.35,0.2747619,0.009952816652366891,12.82292868263721,0.37582818,0.0035390526119427894,22721
1200227,0.12309524,0.18193169,0.12551588,0.2095404,0.05,1.3118761777877808,44.6,0.24861112,0.00955887914460618,13.429072938963433,0.34666342,0.0045830081865163895,24943
