environment_steps,actor_loss,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,agent2/mean_episode_returns,agent2/std_episode_returns,agent3/mean_episode_returns,agent3/std_episode_returns,entropy,loss,mean_episode_length,mean_episode_returns,mean_episode_time,std_episode_length,std_episode_returns,std_episode_time,updates,value_loss
500000,-0.044603568501770496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2218026220798492,-0.037141220178455114,500.0,0.0,2.3731724543991732,0.0,0.0,0.0002924621952577874,100,0.014924695016816258
1000000,0.023543253540992737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.682868242263794,0.036752800457179546,500.0,0.0,2.4527992170988,0.0,0.0,0.00016475504639308926,200,0.026419089641422033
1500000,0.028564640146214515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1745696663856506,0.04645454743877053,500.0,0.0,2.2608633709009154,0.0,0.0,0.0003877444142947615,300,0.035779813304543495
2000000,-0.0048338789492845535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9877307415008545,0.007685905555263162,500.0,0.0,2.0254022366018036,0.0,0.0,0.0003181835920652299,400,0.025039569940418005
2500000,-0.3423744337633252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7715625762939453,-0.2965560760349035,500.0,0.0,1.9800660474022151,0.0,0.0,0.0003529618188853317,500,0.09163672104477882
3000000,0.013718688627704978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9136070311069489,0.021524700336158276,500.0,0.0,2.4602073329995617,0.0,0.0,0.00024350706343018383,600,0.015612023882567883
3500000,-0.11676673823967576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.65032958984375,0.05073660984635353,500.0,0.0,5.001302635698812,0.0,0.0,0.0003199427495802449,700,0.3350066915154457
4000000,0.04522262318641879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8470402359962463,0.0702576250769198,500.0,0.0,2.2503573683003197,0.0,0.0,0.0008574889214975643,800,0.05007000453770161
4500000,-2.2338490188121796,0.1,0.29999998,0.1,0.29999998,0.2,0.4,0.2,0.4,2.592693328857422,66.65352630615234,500.0,0.6,2.1442757978016744,0.0,0.66332495,0.00027727321662482455,900,137.77474975585938
5000000,-0.2357138292863965,0.2,0.4,0.1,0.29999998,0.2,0.4,0.0,0.0,2.3779032826423645,27.59010934829712,500.0,0.5,2.437134488900483,0.0,0.92195445,0.0002095223386303147,1000,55.65164661407471
5500000,-0.6536507532000542,0.1,0.29999998,0.2,0.4,0.3,0.45825756,0.2,0.4,1.902767837047577,22.742708206176758,500.0,0.8,5.114195867799571,0.0,0.8717798,0.0004988060761839339,1100,46.792717933654785
6000000,-0.1263456828892231,0.2,0.4,0.2,0.4,0.2,0.4,0.3,0.45825756,2.2850338220596313,9.67195749282837,500.0,0.9,2.056008047198702,0.0,0.7,0.00011131406124580678,1200,19.596606254577637
6500000,1.166531428694725,0.2,0.4,0.1,0.29999998,0.2,0.4,0.3,0.45825756,2.5233043432235718,10.028040647506714,500.0,0.8,2.196921704702254,0.0,0.74833155,0.0003436216588284187,1300,17.723018169403076
7000000,0.21127829421311617,0.2,0.4,0.4,0.48989797,0.2,0.4,0.2,0.4,1.7256712019443512,11.582976818084717,500.0,1.0,2.282858181699703,0.0,0.7745967,0.000339497559767743,1400,22.74339723587036
7500000,-1.1046977676451206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47477149963378906,21.67345952987671,500.0,0.0,1.9686143521015764,0.0,0.0,0.0004825408606573362,1500,45.55631446838379
8000000,-0.4580879621207714,0.2,0.4,0.0,0.0,0.1,0.29999998,0.1,0.29999998,0.5046244859695435,24.652090072631836,500.0,0.4,2.125820884501445,0.0,0.48989797,0.0005415537594770268,1600,50.22035598754883
8500000,-0.1497380561195314,0.4,0.48989797,0.4,0.489898,0.4,0.489898,0.1,0.29999998,1.324653148651123,20.319167137145996,500.0,1.3,1.9758725548992515,0.0,0.64031243,0.00013676421305718845,1700,40.93780994415283
9000000,-0.2800670340657234,0.5,0.5,0.3,0.45825756,0.8,0.4,0.0,0.0,1.0590521693229675,26.726872444152832,500.0,1.6,3.9224415715041685,0.0,0.8,0.0005293642364851965,1800,54.01387977600098
9500000,0.09498612210154533,0.4,0.48989797,0.1,0.29999998,0.2,0.59999996,0.0,0.0,1.0207083821296692,26.418167114257812,500.0,0.7,2.2950270167013516,0.0,1.1874342,0.0005391289977580157,1900,52.646361351013184
10000000,-0.45034074783325195,0.5,0.5,0.4,0.48989797,0.4,0.48989797,0.2,0.4,1.2772828936576843,21.451016426086426,500.0,1.5,2.3843940007005586,0.0,1.3601471,0.0005678723191710558,2000,43.80271339416504
