environment_steps,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,agent2/mean_episode_returns,agent2/std_episode_returns,agent3/mean_episode_returns,agent3/std_episode_returns,agent4/mean_episode_returns,agent4/std_episode_returns,epsilon,loss,mean_action_mask,mean_battle_won,mean_episode_length,mean_episode_returns,mean_episode_time,std_action_mask,std_battle_won,std_episode_length,std_episode_returns,std_episode_time,updates
50019,10.486864,1.3495182,10.486864,1.3495182,10.486864,1.3495182,10.486864,1.3495182,10.486864,1.3495182,0.7624097500000001,15.624545097351074,5.08,0.01,38.58,52.434315,0.10037228706351016,0.79599005,0.09949874371066199,3.0957390070869995,6.7475915,0.01018561346571729,1183
100036,10.705491,2.3289425,10.705491,2.3289425,10.705491,2.3289425,10.705491,2.3289425,10.705491,2.3289425,0.524829,22.786653518676758,5.25,0.03,43.36,53.52745,0.1334526920726057,1.2196311,0.17058722109231983,19.284978610307036,11.644712,0.057253948027315496,2519
150042,13.423653,2.4424,13.423653,2.4424,13.423653,2.4424,13.423653,2.4424,13.423653,2.4424,0.28730049999999996,25.933706283569336,6.3,0.08,61.88,67.11826,0.18515715287823695,2.8930953,0.2712931993250107,38.638913028189606,12.212001,0.10070943659398586,3662
200099,14.097818,3.6769783,14.097818,3.6769783,14.097818,3.6769783,14.097818,3.6769783,14.097818,3.6769783,0.05,21.110673904418945,6.36,0.23,65.82,70.48909,0.19271289829281157,2.2606194,0.4208325082500163,38.839510810513566,18.384892,0.09998644082705538,4533
250102,10.797059,2.786295,10.797059,2.786295,10.797059,2.786295,10.797059,2.786295,10.797059,2.786295,0.05,21.8696346282959,5.57,0.06,55.27,53.985302,0.1640211258060299,1.861478,0.23748684174075835,31.08821480883069,13.931475,0.0711804723309864,5435
300146,15.770024,3.9329884,15.770024,3.9329884,15.770024,3.9329884,15.770024,3.9329884,15.770024,3.9329884,0.05,19.293426513671875,9.3,0.43,58.26,78.85012,0.16563096047204454,5.1156626,0.4950757517794625,26.71464766752502,19.664942,0.0607866463774839,6329
350192,15.579388,4.180607,15.579388,4.180607,15.579388,4.180607,15.579388,4.180607,15.579388,4.180607,0.05,23.319255828857422,7.99,0.43,64.57,77.89694,0.19140557755425106,4.0037355,0.4950757517794625,23.774883806235522,20.903034,0.055993066804783144,7244
400218,16.710392,4.0434628,16.710392,4.0434628,16.710392,4.0434628,16.710392,4.0434628,16.710392,4.0434628,0.05,19.394989013671875,12.7,0.58,49.8,83.551956,0.14661733876098879,6.830081,0.49355850717012273,20.73306537876153,20.217314,0.05014368801311339,8129
450253,13.239266,3.451011,13.239266,3.451011,13.239266,3.451011,13.239266,3.451011,13.239266,3.451011,0.05,19.888574600219727,6.67,0.16,75.75,66.19632,0.21303743463766295,3.1561208,0.36660605559646725,37.50209994120329,17.255054,0.08880683114980822,8852
500294,11.892404,3.1188276,11.892404,3.1188276,11.892404,3.1188276,11.892404,3.1188276,11.892404,3.1188276,0.05,25.86305046081543,6.25,0.1,75.36,59.462025,0.2267965170717798,3.6231892,0.3,38.68217160398314,15.594138,0.09485063200197985,9572
550326,16.668432,4.2018614,16.668432,4.2018614,16.668432,4.2018614,16.668432,4.2018614,16.668432,4.2018614,0.05,21.9970703125,11.44,0.59,51.37,83.342155,0.15684250997146593,5.7102013,0.49183330509431744,20.866554579038677,21.009306,0.05264681615654059,10248
600332,12.459731,2.5042915,12.459731,2.5042915,12.459731,2.5042915,12.459731,2.5042915,12.459731,2.5042915,0.05,25.886276245117188,5.48,0.07,52.1,62.298656,0.15386052665417083,1.7232528,0.25514701644346144,18.775782273982625,12.521459,0.045033583593147936,10956
650351,11.586643,2.4374194,11.586643,2.4374194,11.586643,2.4374194,11.586643,2.4374194,11.586643,2.4374194,0.05,36.391639709472656,5.53,0.04,76.01,57.933228,0.21735419793636537,2.0221522,0.19595917942265426,30.31847456584846,12.187098,0.07092336624352458,11726
700378,17.277254,3.8817465,17.277254,3.8817465,17.277254,3.8817465,17.277254,3.8817465,17.277254,3.8817465,0.05,26.731433868408203,12.16,0.65,44.2,86.38629,0.1313470613124082,5.7770576,0.47696960070847283,5.71664237118258,19.408731,0.015151000705183078,12576
750507,11.680221,3.9894001,11.680221,3.9894001,11.680221,3.9894001,11.680221,3.9894001,11.680221,3.9894001,0.05,27.370433807373047,6.72,0.14,62.69,58.401108,0.1921392020926578,3.7843888,0.34698703145794946,36.424358607942565,19.947,0.09111458680088941,13360
800551,15.170515,3.7619784,15.170515,3.7619784,15.170515,3.7619784,15.170515,3.7619784,15.170515,3.7619784,0.05,38.024383544921875,7.86,0.33,68.78,75.852585,0.21914005535072648,4.147336,0.47021271782034985,27.102243449574427,18.809893,0.07701076557764408,14123
850588,15.79902,3.947462,15.79902,3.947462,15.79902,3.947462,15.79902,3.947462,15.79902,3.947462,0.05,35.5526008605957,8.77,0.4,60.4,78.995094,0.17169703166757244,4.7536407,0.48989794855663565,29.335984728657053,19.737312,0.06590940991688952,15004
900679,11.393725,2.9893706,11.393725,2.9893706,11.393725,2.9893706,11.393725,2.9893706,11.393725,2.9893706,0.05,38.10456848144531,5.83,0.07,51.67,56.968624,0.17297661880904344,2.9122329,0.25514701644346144,24.972807211044575,14.946853,0.06944193104772838,15821
950688,18.210564,3.4053628,18.210564,3.4053628,18.210564,3.4053628,18.210564,3.4053628,18.210564,3.4053628,0.05,35.61973571777344,14.27,0.77,51.12,91.052826,0.15877174001012462,5.818686,0.4208325082500163,24.823488876465365,17.026817,0.05836491372366036,16642
1000697,18.0626,3.5618587,18.0626,3.5618587,18.0626,3.5618587,18.0626,3.5618587,18.0626,3.5618587,0.05,35.58641815185547,11.68,0.76,48.25,90.312996,0.14592102162656373,4.666648,0.4270831300812525,13.53689403075905,17.809292,0.031508369426222364,17597
1050729,16.688726,4.149223,16.688726,4.149223,16.688726,4.149223,16.688726,4.149223,16.688726,4.149223,0.05,28.242328643798828,9.93,0.58,50.98,83.443634,0.17033560746174772,4.3594837,0.49355850717012273,18.75472207205428,20.746115,0.054950640757323276,18516
