environment_steps,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,agent2/mean_episode_returns,agent2/std_episode_returns,agent3/mean_episode_returns,agent3/std_episode_returns,agent4/mean_episode_returns,agent4/std_episode_returns,epsilon,loss,mean_action_mask,mean_battle_won,mean_episode_length,mean_episode_returns,mean_episode_time,std_action_mask,std_battle_won,std_episode_length,std_episode_returns,std_episode_time,updates
50008,10.536276,0.7168666,10.536276,0.7168666,10.536276,0.7168666,10.536276,0.7168666,10.536276,0.7168666,0.762462,4.659983158111572,5.0,0.0,32.99,52.681377,0.10102416459121741,0.0,0.0,2.1330494602798127,3.5843334,0.007418560626408324,1221
100013,9.072231,1.7852165,9.072231,1.7852165,9.072231,1.7852165,9.072231,1.7852165,9.072231,1.7852165,0.52493825,5.030791282653809,5.13,0.01,34.27,45.361156,0.10486841964127962,0.9343981,0.09949874371066199,15.442056210233144,8.926082,0.03649825785590388,2506
150015,11.659852,1.3304168,11.659852,1.3304168,11.659852,1.3304168,11.659852,1.3304168,11.659852,1.3304168,0.28742874999999996,7.438234806060791,5.28,0.0,54.69,58.29926,0.16708745833893773,1.3347658,0.0,27.811398742242357,6.6520844,0.0651402113873878,3603
200116,11.480417,1.9728038,11.480417,1.9728038,11.480417,1.9728038,11.480417,1.9728038,11.480417,1.9728038,0.05,4.308962821960449,5.39,0.01,72.35,57.402084,0.2301942292100284,1.7600852,0.09949874371066199,27.841830040426583,9.86402,0.07137664382997203,4411
250173,10.134461,2.0060244,10.134461,2.0060244,10.134461,2.0060244,10.134461,2.0060244,10.134461,2.0060244,0.05,3.1117286682128906,5.08,0.01,45.83,50.672306,0.16739206128404477,0.79599005,0.09949874371066199,13.920528007227313,10.030123,0.041041837883369944,5118
300174,11.170442,2.1752186,11.170442,2.1752186,11.170442,2.1752186,11.170442,2.1752186,11.170442,2.1752186,0.05,3.7252557277679443,5.18,0.02,55.01,55.852203,0.17781981419888326,1.1347245,0.13999999999999999,22.89519381879088,10.876092,0.05863846171350128,5927
350189,11.7924,2.5883114,11.7924,2.5883114,11.7924,2.5883114,11.7924,2.5883114,11.7924,2.5883114,0.05,3.0010111331939697,5.67,0.06,61.89,58.962006,0.1973590816842625,2.3960593,0.23748684174075835,27.26532413157782,12.941557,0.07190995142568021,6666
400277,15.015343,3.2086117,15.015343,3.2086117,15.015343,3.2086117,15.015343,3.2086117,15.015343,3.2086117,0.05,3.2834079265594482,7.12,0.22,85.67,75.07671,0.24023809998645448,3.4066994,0.41424630354415964,35.09075519278546,16.043058,0.08637150107954301,7300
450364,13.430123,2.6598039,13.430123,2.6598039,13.430123,2.6598039,13.430123,2.6598039,13.430123,2.6598039,0.05,2.752572774887085,8.78,0.06,122.91,67.15061,0.32631342493230475,3.582122,0.23748684174075835,38.42397558816631,13.299021,0.09381985788593032,7883
500397,13.941568,2.0998566,13.941568,2.0998566,13.941568,2.0998566,13.941568,2.0998566,13.941568,2.0998566,0.05,2.447035789489746,8.66,0.04,125.15,69.70785,0.31697268919146154,3.4444737,0.19595917942265423,34.047136443466144,10.499283,0.07766360026995801,8389
550428,15.78125,3.1331687,15.78125,3.1331687,15.78125,3.1331687,15.78125,3.1331687,15.78125,3.1331687,0.05,2.8793249130249023,8.75,0.33,68.22,78.90625,0.19398009954777082,5.4504585,0.47021271782034985,35.67760642195605,15.665842,0.0849948251578132,8871
600467,17.256104,3.4246752,17.256104,3.4246752,17.256104,3.4246752,17.256104,3.4246752,17.256104,3.4246752,0.05,2.351240396499634,9.33,0.55,69.74,86.28051,0.19283299204544163,3.888586,0.49749371855331,20.10951018796828,17.123377,0.051676579432370105,9398
650576,18.173357,2.8456416,18.173357,2.8456416,18.173357,2.8456416,18.173357,2.8456416,18.173357,2.8456416,0.05,2.45039439201355,8.53,0.67,59.65,90.8668,0.16873703289951664,2.937533,0.4702127178203499,25.586080199983737,14.22821,0.06613889184763273,10069
700581,14.576816,2.518373,14.576816,2.518373,14.576816,2.518373,14.576816,2.518373,14.576816,2.518373,0.05,3.36187744140625,6.02,0.11,76.98,72.88408,0.21985208168800455,2.4778216,0.3128897569432404,24.994391370865586,12.591865,0.0585888514654582,10876
750586,18.558186,2.5922036,18.558186,2.5922036,18.558186,2.5922036,18.558186,2.5922036,18.558186,2.5922036,0.05,4.007937431335449,11.2,0.73,53.35,92.790924,0.1554364617023384,4.0963397,0.4439594576084623,20.408025382187276,12.961018,0.054600797857339775,11715
800623,18.162844,2.4907944,18.162844,2.4907944,18.162844,2.4907944,18.162844,2.4907944,18.162844,2.4907944,0.05,3.0266366004943848,9.57,0.62,60.45,90.81422,0.17355369078577496,4.4905567,0.48538644398046393,13.962360115682449,12.453972,0.0342634311636198,12644
850623,18.855318,2.4783566,18.855318,2.4783566,18.855318,2.4783566,18.855318,2.4783566,18.855318,2.4783566,0.05,3.1667919158935547,12.27,0.81,50.72,94.27659,0.15333144048170652,4.5030103,0.3923009049186606,13.059157706376013,12.391783,0.03237528155466513,13560
900660,18.951788,2.4900477,18.951788,2.4900477,18.951788,2.4900477,18.951788,2.4900477,18.951788,2.4900477,0.05,2.879636526107788,14.2,0.84,44.68,94.75894,0.1337299050495494,4.68188,0.36660605559646725,6.1300570959820595,12.450239,0.014571071553996876,14566
950661,18.454388,3.1310153,18.454388,3.1310153,18.454388,3.1310153,18.454388,3.1310153,18.454388,3.1310153,0.05,3.104963541030884,13.88,0.79,51.49,92.271935,0.15900062834029086,5.263611,0.4073082370883261,6.765345519631648,15.655077,0.017373387255103834,15469
1000735,17.400246,5.2739944,17.400246,5.2739944,17.400246,5.2739944,17.400246,5.2739944,17.400246,5.2739944,0.05,2.8904871940612793,14.17,0.75,86.8,87.00123,0.27396273459191434,4.6905327,0.4330127018922193,29.549619286887605,26.369974,0.09852957686689716,16141
1050761,12.706324,7.2630024,12.706324,7.2630024,12.706324,7.2630024,12.706324,7.2630024,12.706324,7.2630024,0.05,4.158446788787842,13.68,0.44,115.57,63.531616,0.3718184150289744,5.497054,0.49638694583963433,36.97600708567652,36.315014,0.1199902785779221,16682
1100782,16.4887,4.524471,16.4887,4.524471,16.4887,4.524471,16.4887,4.524471,16.4887,4.524471,0.05,5.121474742889404,10.93,0.59,85.47,82.443504,0.2626308942190371,4.724944,0.4918333050943175,28.173198256499028,22.622353,0.07527306923156471,17219
1150859,15.876789,5.274473,15.876789,5.274473,15.876789,5.274473,15.876789,5.274473,15.876789,5.274473,0.05,4.274404048919678,13.56,0.57,101.38,79.38394,0.3292822812794475,5.52507,0.4950757517794625,35.65158621997064,26.372366,0.11270261428190616,17774
1200912,14.934607,5.700854,14.934607,5.700854,14.934607,5.700854,14.934607,5.700854,14.934607,5.700854,0.05,4.01014518737793,12.94,0.5,101.39,74.67304,0.32511369833082426,4.9352207,0.5,38.586758091345274,28.504269,0.11447919555260004,18360
1250920,19.434166,2.195589,19.434166,2.195589,19.434166,2.195589,19.434166,2.195589,19.434166,2.195589,0.05,7.362318515777588,14.98,0.93,74.81,97.17083,0.24528393459157086,3.952164,0.2551470164434615,16.62569998526378,10.977945,0.04971935125296957,19004
1300949,19.792597,1.4706974,19.792597,1.4706974,19.792597,1.4706974,19.792597,1.4706974,19.792597,1.4706974,0.05,5.274190902709961,16.4,0.98,64.8,98.96299,0.2022649040981196,2.792848,0.13999999999999999,13.6711374801075,7.3534875,0.04175268776364481,19718
1350970,19.767694,1.1718485,19.767694,1.1718485,19.767694,1.1718485,19.767694,1.1718485,19.767694,1.1718485,0.05,3.086299419403076,17.72,0.96,68.48,98.83848,0.22363926294317935,4.135408,0.19595917942265426,13.843756715573992,5.859242,0.03979878626636529,20413
1400979,19.825539,1.3479143,19.825539,1.3479143,19.825539,1.3479143,19.825539,1.3479143,19.825539,1.3479143,0.05,2.2102041244506836,17.9,0.98,68.4,99.12769,0.2256103632960003,2.8999999,0.13999999999999999,14.579437574886077,6.739571,0.043536766826660106,21172
1451014,18.78098,3.7106266,18.78098,3.7106266,18.78098,3.7106266,18.78098,3.7106266,18.78098,3.7106266,0.05,2.2064967155456543,16.47,0.85,92.26,93.9049,0.2952133712981595,3.9381592,0.3570714214271425,28.611053807925355,18.553133,0.09191921215213313,21928
1501110,15.495491,6.700076,15.495491,6.700076,15.495491,6.700076,15.495491,6.700076,15.495491,6.700076,0.05,2.3506877422332764,18.36,0.62,117.85,77.47745,0.3741724779602373,4.983011,0.48538644398046393,31.77558024647229,33.50038,0.10794795893034657,22480
1551171,19.760513,2.2200634,19.760513,2.2200634,19.760513,2.2200634,19.760513,2.2200634,19.760513,2.2200634,0.05,1.6370298862457275,18.54,0.97,73.04,98.80258,0.2415879400173435,3.7427797,0.17058722109231983,18.51589587354606,11.100317,0.061821758954464304,23003
1601228,19.244509,3.558507,19.244509,3.558507,19.244509,3.558507,19.244509,3.558507,19.244509,3.558507,0.05,1.7555750608444214,17.28,0.89,94.24,96.22255,0.31937884623243007,4.0622163,0.3128897569432403,30.408919744048784,17.792536,0.10557160191043255,23538
1651345,14.293774,7.1733627,14.293774,7.1733627,14.293774,7.1733627,14.293774,7.1733627,14.293774,7.1733627,0.05,2.577904224395752,16.54,0.54,116.09,71.46887,0.393987920434447,4.644179,0.49839743177508444,37.103125205297744,35.866814,0.1329092072433993,24059
1701378,14.50821,6.583902,14.50821,6.583902,14.50821,6.583902,14.50821,6.583902,14.50821,6.583902,0.05,1.6765421628952026,20.63,0.51,125.86,72.541046,0.44077652001054957,5.045107,0.4998999899979995,28.59790901447167,32.91951,0.10601423640806575,24560
1751491,17.359777,5.1773405,17.359777,5.1773405,17.359777,5.1773405,17.359777,5.1773405,17.359777,5.1773405,0.05,1.5523566007614136,18.49,0.74,116.24,86.79889,0.3985590641293675,4.786429,0.4386342439892262,31.102450064263422,25.886703,0.10951313381800125,25024
1801523,19.08272,3.5307496,19.08272,3.5307496,19.08272,3.5307496,19.08272,3.5307496,19.08272,3.5307496,0.05,1.745430588722229,18.15,0.87,92.7,95.413605,0.3003028000588529,5.0603857,0.33630343441600474,30.69413624782427,17.653748,0.09894198853834678,25497
