environment_steps,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,agent2/mean_episode_returns,agent2/std_episode_returns,agent3/mean_episode_returns,agent3/std_episode_returns,agent4/mean_episode_returns,agent4/std_episode_returns,epsilon,loss,mean_action_mask,mean_battle_won,mean_episode_length,mean_episode_returns,mean_episode_time,std_action_mask,std_battle_won,std_episode_length,std_episode_returns,std_episode_time,updates
50035,11.439018,1.7508998,11.439018,1.7508998,11.439018,1.7508998,11.439018,1.7508998,11.439018,1.7508998,0.76233375,4.524029731750488,5.16,0.02,36.98,57.1951,0.1094364216417307,1.12,0.13999999999999999,6.387456457777227,8.7545,0.0248800602484181,1211
100036,7.9194117,1.1880335,7.9194117,1.1880335,7.9194117,1.1880335,7.9194117,1.1880335,7.9194117,1.1880335,0.524829,4.8838019371032715,5.06,0.0,39.29,39.59706,0.1260061662120279,0.44317037,0.0,21.991496083713816,5.9401665,0.05683789758264636,2457
150108,12.312473,1.715409,12.312473,1.715409,12.312473,1.715409,12.312473,1.715409,12.312473,1.715409,0.286987,4.687347888946533,6.06,0.01,99.18,61.562374,0.2664013137418078,1.7934325,0.09949874371066199,41.650301319438256,8.5770445,0.09928312245812064,3553
200128,13.125662,2.383087,13.125662,2.383087,13.125662,2.383087,13.125662,2.383087,13.125662,2.383087,0.05,4.538629531860352,7.96,0.04,114.85,65.62831,0.3133384395862231,3.6053293,0.19595917942265428,43.58632239590764,11.915434,0.10926921015431003,4262
250160,13.45924,1.8474966,13.45924,1.8474966,13.45924,1.8474966,13.45924,1.8474966,13.45924,1.8474966,0.05,4.751718521118164,5.77,0.01,95.31,67.2962,0.2559209499735152,2.0142243,0.09949874371066199,35.94403844867741,9.237483,0.08467883312051223,4818
300202,12.818899,2.4696782,12.818899,2.4696782,12.818899,2.4696782,12.818899,2.4696782,12.818899,2.4696782,0.05,3.5530216693878174,6.1,0.06,99.84,64.09449,0.2663613216613885,2.3473392,0.23748684174075835,43.20525893916156,12.348391,0.10209746453545532,5349
350243,12.038506,1.9634942,12.038506,1.9634942,12.038506,1.9634942,12.038506,1.9634942,12.038506,1.9634942,0.05,5.993038177490234,7.92,0.0,122.44,60.192528,0.3314986120990943,3.6760845,0.0,34.2713641397596,9.8174715,0.08603376816729973,5877
400392,11.422795,2.6472702,11.422795,2.6472702,11.422795,2.6472702,11.422795,2.6472702,11.422795,2.6472702,0.05,2.956974983215332,8.78,0.03,118.75,57.113976,0.3233151286788052,4.5575867,0.17058722109231983,36.83323906473608,13.23635,0.0921800783184243,6415
450430,11.564854,1.8606269,11.564854,1.8606269,11.564854,1.8606269,11.564854,1.8606269,11.564854,1.8606269,0.05,3.148056983947754,9.17,0.01,126.47,57.824272,0.3474818487995071,3.3047087,0.09949874371066199,37.04091116589871,9.303134,0.08725953036224063,7035
500498,12.166472,2.1570506,12.166472,2.1570506,12.166472,2.1570506,12.166472,2.1570506,12.166472,2.1570506,0.05,3.310358762741089,5.64,0.03,83.76,60.83236,0.24573659210465848,1.835865,0.1705872210923198,30.24074073166859,10.785251,0.07275058175516741,7635
550507,14.937085,2.8958972,14.937085,2.8958972,14.937085,2.8958972,14.937085,2.8958972,14.937085,2.8958972,0.05,2.9594478607177734,8.36,0.12,124.87,74.68542,0.33693160832859576,3.6810865,0.32496153618543844,28.928067685208426,14.479486,0.07517327268495874,8238
600532,12.591177,2.380261,12.591177,2.380261,12.591177,2.380261,12.591177,2.380261,12.591177,2.380261,0.05,2.810140609741211,5.54,0.06,87.02,62.95588,0.2366536816197913,1.9719025,0.23748684174075835,38.55592820825353,11.901305,0.08881801567596369,8850
650606,16.651743,3.3608649,16.651743,3.3608649,16.651743,3.3608649,16.651743,3.3608649,16.651743,3.3608649,0.05,3.215317487716675,8.01,0.37,93.04,83.2587,0.2521188204054488,3.9887218,0.4828043081829324,30.377597008321768,16.804325,0.06984754253961344,9532
700632,19.683851,2.1230378,19.683851,2.1230378,19.683851,2.1230378,19.683851,2.1230378,19.683851,2.1230378,0.05,2.097240447998047,12.58,0.86,71.73,98.41925,0.2155553232890088,4.264223,0.34698703145794946,16.877117644906075,10.615189,0.04226200382084424,10220
750691,16.36468,2.5901122,16.36468,2.5901122,16.36468,2.5901122,16.36468,2.5901122,16.36468,2.5901122,0.05,3.3135416507720947,7.11,0.3,64.79,81.82341,0.1944030354800634,3.560604,0.45825756949558394,15.591853642206882,12.950561,0.03928957988047865,10979
800743,18.541986,2.5784657,18.541986,2.5784657,18.541986,2.5784657,18.541986,2.5784657,18.541986,2.5784657,0.05,2.841745138168335,9.97,0.71,63.3,92.70993,0.18522141579713206,3.8038273,0.45376205218153715,17.799157283422158,12.892327,0.04393069315958923,11748
850789,16.590418,2.910726,16.590418,2.910726,16.590418,2.910726,16.590418,2.910726,16.590418,2.910726,0.05,2.5989556312561035,7.91,0.39,54.17,82.95209,0.1655573349504266,4.101451,0.4877499359302879,12.36289205647287,14.553631,0.033357350475089836,12532
900840,19.143234,2.188564,19.143234,2.188564,19.143234,2.188564,19.143234,2.188564,19.143234,2.188564,0.05,2.3340370655059814,13.63,0.83,59.9,95.71617,0.1735884938336676,5.2051034,0.375632799419859,14.625662378162568,10.942821,0.037085852807158835,13345
950843,15.881226,2.9574144,15.881226,2.9574144,15.881226,2.9574144,15.881226,2.9574144,15.881226,2.9574144,0.05,2.4876625537872314,7.41,0.31,47.78,79.40612,0.1495818491699174,4.0102243,0.462493243193887,13.86980893884267,14.787072,0.03764918115743591,14168
