environment_steps,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,epsilon,loss,mean_action_mask,mean_battle_won,mean_episode_length,mean_episode_returns,mean_episode_time,std_action_mask,std_battle_won,std_episode_length,std_episode_returns,std_episode_time,updates
2701644,11.688362,1.4952079,11.688362,1.4952079,0.05,1.583655834197998,2.08,0.02,34.1,23.376724,0.06210830825846642,0.56,0.13999999999999996,14.143903280212289,2.9904158,0.026035657206119354,32130
2801656,16.58158,4.3930235,16.58158,4.3930235,0.05,2.079627275466919,4.4,0.59,42.23,33.16316,0.07973872458736878,2.039608,0.4918333050943175,31.844577246369596,8.786047,0.062854228480368,34875
2901737,15.926145,4.5217648,15.926145,4.5217648,0.05,2.6721181869506836,4.12,0.52,37.17,31.85229,0.0704826612630859,2.0749938,0.4995998398718718,23.89353678298799,9.0435295,0.04681624131071926,37141
3001777,16.0025,4.565723,16.0025,4.565723,0.05,2.5224218368530273,4.25,0.53,48.86,32.005,0.09371673292829655,1.9968725,0.49909918853871116,39.39188241249712,9.131446,0.08112121780825259,39311
3101782,17.291325,4.6686487,17.291325,4.6686487,0.05,1.8722851276397705,4.92,0.7,49.44,34.58265,0.0948408674960956,1.8637598,0.45825756949558394,37.82838087996894,9.337297,0.07659525490766646,41272
3201805,16.40386,4.914663,16.40386,4.914663,0.05,2.3310611248016357,4.61,0.61,49.71,32.80772,0.09581273952615448,1.9994749,0.487749935930288,38.97699193113804,9.829326,0.07964716641022533,43245
3301811,14.189005,4.6342654,14.189005,4.6342654,0.05,2.132874011993408,3.73,0.32,78.52,28.37801,0.15393451798998284,2.6186066,0.46647615158762396,47.57971836822912,9.268531,0.096742422178147,44858
3401871,18.628952,3.713587,18.628952,3.713587,0.05,2.0247628688812256,5.64,0.82,58.51,37.257904,0.11227635170856956,2.047047,0.3841874542459709,42.60715784935672,7.427174,0.08589987646916453,46494
3501919,18.645441,3.6674273,18.645441,3.6674273,0.05,1.8204212188720703,5.66,0.82,57.16,37.290882,0.1112235907727154,1.9142623,0.38418745424597095,41.59079705896486,7.3348546,0.08366028275961578,47958
3601986,16.400785,4.7479043,16.400785,4.7479043,0.05,2.3492753505706787,4.64,0.59,49.15,32.80157,0.0947355474793585,2.278245,0.4918333050943174,35.199822442733996,9.495809,0.07121382495514281,49607
3702001,17.792883,4.423735,17.792883,4.423735,0.05,1.6334607601165771,5.61,0.72,70.7,35.585766,0.1469139641849324,2.6263852,0.44899888641287294,49.673634857940485,8.84747,0.11085731800022512,51340
3802029,18.51148,3.6704774,18.51148,3.6704774,0.05,1.2908082008361816,5.56,0.79,58.54,37.02296,0.11343558083986864,2.1832087,0.4073082370883261,44.738444318058264,7.340955,0.09165562910569618,53065
3902055,18.789213,3.5121021,18.789213,3.5121021,0.05,1.5877679586410522,5.72,0.82,60.71,37.578426,0.11865318331052549,2.13579,0.38418745424597095,43.0123924003304,7.0242043,0.08908501291701455,54740
