environment_steps,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,agent2/mean_episode_returns,agent2/std_episode_returns,agent3/mean_episode_returns,agent3/std_episode_returns,agent4/mean_episode_returns,agent4/std_episode_returns,epsilon,loss,mean_action_mask,mean_battle_won,mean_episode_length,mean_episode_returns,mean_episode_time,std_action_mask,std_battle_won,std_episode_length,std_episode_returns,std_episode_time,updates
50009,10.448237,0.8762892,10.448237,0.8762892,10.448237,0.8762892,10.448237,0.8762892,10.448237,0.8762892,0.76245725,3.0392398834228516,5.0,0.0,35.1,52.241177,0.09875251959834713,0.0,0.0,2.046948949045872,4.3814454,0.013721395088179522,1192
100021,9.435099,1.2443413,9.435099,1.2443413,9.435099,1.2443413,9.435099,1.2443413,9.435099,1.2443413,0.52490025,3.2635812759399414,5.09,0.0,34.93,47.17549,0.07477306418353692,0.5673622,0.0,20.60983017882486,6.221707,0.0338622932499004,2568
150048,12.602892,1.5234241,12.602892,1.5234241,12.602892,1.5234241,12.602892,1.5234241,12.602892,1.5234241,0.28727199999999997,3.422180414199829,6.46,0.0,100.21,63.01446,0.18991486791928763,2.201908,0.0,47.63723228736111,7.617121,0.08085664197507988,3650
200195,13.576397,1.7203068,13.576397,1.7203068,13.576397,1.7203068,13.576397,1.7203068,13.576397,1.7203068,0.05,4.601856231689453,5.53,0.01,63.78,67.88198,0.1188567128725117,1.5840138,0.09949874371066199,44.15259448775349,8.601533,0.06970810196722327,4353
250226,13.215221,1.6441702,13.215221,1.6441702,13.215221,1.6441702,13.215221,1.6441702,13.215221,1.6441702,0.05,3.1034433841705322,5.65,0.03,60.45,66.076096,0.12037104955175891,1.9563997,0.1705872210923198,39.743773097178384,8.220851,0.0659104051389858,4967
300241,13.791274,2.2549078,13.791274,2.2549078,13.791274,2.2549078,13.791274,2.2549078,13.791274,2.2549078,0.05,3.0011157989501953,5.75,0.06,71.34,68.956375,0.1320715574308997,2.3890374,0.23748684174075835,41.46304860957525,11.27454,0.06287157934567845,5651
350242,15.225195,2.4859176,15.225195,2.4859176,15.225195,2.4859176,15.225195,2.4859176,15.225195,2.4859176,0.05,2.7938194274902344,6.35,0.14,80.95,76.12598,0.14512673415709287,2.7290108,0.34698703145794946,34.23751597297911,12.429587,0.05001939571228477,6351
400285,16.996422,3.1740696,16.996422,3.1740696,16.996422,3.1740696,16.996422,3.1740696,16.996422,3.1740696,0.05,2.2242166996002197,8.12,0.49,62.79,84.98211,0.12044482628116385,3.3653526,0.49989998999799945,28.079278836893234,15.870349,0.04341258005178322,7088
450313,13.4073305,2.4819357,13.4073305,2.4819357,13.4073305,2.4819357,13.4073305,2.4819357,13.4073305,2.4819357,0.05,2.760568857192993,5.64,0.09,63.28,67.03665,0.13088338624220341,2.095328,0.28618176042508375,12.184481934001134,12.4096775,0.02380365608173542,7926
500332,17.943186,3.050009,17.943186,3.050009,17.943186,3.050009,17.943186,3.050009,17.943186,3.050009,0.05,2.537106513977051,11.0,0.67,48.21,89.71593,0.10022714871913195,4.8826222,0.47021271782034985,12.246056508117215,15.250045,0.019656764651302717,8782
