environment_steps,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,epsilon,loss,mean_action_mask,mean_battle_won,mean_episode_length,mean_episode_returns,mean_episode_time,std_action_mask,std_battle_won,std_episode_length,std_episode_returns,std_episode_time,updates
100030,9.73804,0.5432436,9.73804,0.5432436,0.76242875,5.449552536010742,2.02,0.0,33.81,19.47608,0.05932225038995966,0.1989975,0.0,13.160315345765843,1.0864872,0.02641378592089926,2290
200110,8.890981,0.7320232,8.890981,0.7320232,0.5247387499999999,3.2670228481292725,3.69,0.0,114.61,17.781961,0.2476847441639984,1.2624975,0.0,54.05920735637916,1.4640464,0.11916265146147899,4747
300183,0.5145098,1.9245056,0.5145098,1.9245056,0.287065375,3.6094863414764404,9.57,0.0,146.82,1.0290196,0.3618406104517635,1.5953369,0.0,16.656158020383934,3.8490112,0.04368645922639295,6286
400253,0.00627451,0.062430587,0.00627451,0.062430587,0.05,13.87583065032959,9.31,0.0,150.0,0.01254902,0.3547687175683677,0.74424464,0.0,0.0,0.12486117,0.006059315310922559,7026
500282,0.0,0.0,0.0,0.0,0.05,12.681940078735352,8.93,0.0,150.0,0.0,0.3418534600333078,0.7778817,0.0,0.0,0.0,0.005939060603471978,7695
600332,0.0,0.0,0.0,0.0,0.05,15.115360260009766,9.48,0.0,150.0,0.0,0.33622226408740974,0.64000005,0.0,0.0,0.0,0.008927905576094302,8362
700382,0.4141177,0.9058793,0.4141177,0.9058793,0.05,18.352767944335938,10.24,0.0,150.0,0.8282354,0.34534262455126735,1.0594338,0.0,0.0,1.8117586,0.010657536263208329,9029
800432,0.0,0.0,0.0,0.0,0.05,19.1007080078125,8.78,0.0,150.0,0.0,0.34258348918985576,0.81951207,0.0,0.0,0.0,0.007821508698536837,9696
900482,0.02509804,0.15163037,0.02509804,0.15163037,0.05,18.288333892822266,8.67,0.0,150.0,0.05019608,0.34368551459687297,0.6936137,0.0,0.0,0.30326074,0.009283512519316407,10363
1000532,0.11921569,0.2762923,0.11921569,0.2762923,0.05,11.71850872039795,8.39,0.0,150.0,0.23843138,0.34270019294752274,0.5812917,0.0,0.0,0.5525846,0.006340497950417167,11030
1100582,0.614902,0.8275696,0.614902,0.8275696,0.05,7.151355266571045,9.33,0.0,150.0,1.229804,0.34840871874708684,1.0867844,0.0,0.0,1.6551392,0.009910524118863067,11697
1200620,1.7003925,2.4691532,1.7003925,2.4691532,0.05,9.488165855407715,8.11,0.0,145.65,3.400785,0.33992191003693734,1.9590558,0.0,18.317955671962963,4.9383063,0.045134916473325425,12378
1300635,11.107164,1.0701505,11.107164,1.0701505,0.05,8.661131858825684,2.04,0.01,32.17,22.214329,0.06311488288920372,0.39799502,0.09949874371066199,0.7622991538759569,2.140301,0.0023058444727762674,13867
1400637,11.218823,0.90178466,11.218823,0.90178466,0.05,3.4163973331451416,2.0,0.0,32.07,22.437647,0.06107280126248952,0.0,0.0,0.2917190429162964,1.8035693,0.0042519562429383815,16730
1500653,10.578823,1.0234184,10.578823,1.0234184,0.05,10.234200477600098,2.0,0.0,32.09,21.157646,0.06257416039064992,0.0,0.0,0.31921779399024736,2.0468369,0.003418795225067806,18892
1600661,11.619128,1.7931223,11.619128,1.7931223,0.05,3.574472427368164,2.16,0.04,32.0,23.238256,0.06227873797062784,0.7838368,0.19595917942265423,0.37416573867739417,3.5862446,0.003099285053142967,21761
1700732,10.366792,1.7084959,10.366792,1.7084959,0.05,2.7211215496063232,2.04,0.01,112.24,20.733583,0.23976778122945688,0.397995,0.09949874371066199,23.08857726236071,3.4169917,0.05190471200898166,24021
1800759,11.390746,1.3397406,11.390746,1.3397406,0.05,0.7885855436325073,2.08,0.02,32.04,22.781492,0.06097715622978285,0.56,0.13999999999999999,0.344093010681705,2.6794813,0.0027302000473548725,26857
1900781,11.511318,1.7982874,11.511318,1.7982874,0.05,1.7083361148834229,2.12,0.03,33.0,23.022636,0.06414545492851176,0.6823489,0.1705872210923198,0.37416573867739417,3.5965748,0.002914843466855869,29941
2000784,11.756016,1.6507524,11.756016,1.6507524,0.05,1.6008011102676392,2.12,0.03,32.03,23.512032,0.07374880123184994,0.68234885,0.17058722109231983,0.2628687885618983,3.3015049,0.009518738252555945,33055
2100784,15.19442,4.9987764,15.19442,4.9987764,0.05,2.43658709526062,3.96,0.49,31.85,30.38884,0.06181187172012869,1.9995999,0.49989998999799945,5.826448317800478,9.997553,0.012242890959601911,36129
2200786,16.69793,4.548354,16.69793,4.548354,0.05,3.339709758758545,4.48,0.62,31.17,33.39586,0.06266550374159124,1.9415457,0.48538644398046393,1.0493331215586401,9.096708,0.004763304343673727,39189
2300799,16.57165,4.6320114,16.57165,4.6320114,0.05,3.5175604820251465,4.44,0.61,31.93,33.1433,0.06302906668046489,1.9509997,0.4877499359302879,4.872894417079032,9.264023,0.011584652882419812,42347
2400814,16.09486,5.3677926,16.09486,5.3677926,0.05,2.1279146671295166,4.66,0.61,48.99,32.18972,0.09895842122961768,1.9090312,0.4877499359302879,38.39231563737723,10.735585,0.08203667313634835,44879
2500872,7.3788238,2.3795536,7.3788238,2.3795536,0.05,2.3758015632629395,4.38,0.0,138.18,14.7576475,0.29303512996411885,2.9215748,0.0,14.777943023303346,4.759107,0.035062875315598645,45773
2600877,15.309382,5.655473,15.309382,5.655473,0.05,2.810800790786743,4.63,0.55,59.5,30.618765,0.12166194377059583,1.8366002,0.49749371855331,49.14702432497821,11.310946,0.10557303719474993,47149
