environment_steps,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,epsilon,loss,mean_action_mask,mean_battle_won,mean_episode_length,mean_episode_returns,mean_episode_time,std_action_mask,std_battle_won,std_episode_length,std_episode_returns,std_episode_time,updates
100003,9.838432,0.4426087,9.838432,0.4426087,0.7624928750000001,11.299409866333008,2.0,0.0,32.11,19.676865,0.056391899177106096,0.0,0.0,0.646451854355759,0.8852174,0.006366591052542877,2321
200034,9.781962,0.5404462,9.781962,0.5404462,0.52491925,4.252652168273926,2.0,0.0,32.04,19.563925,0.05690415955148637,0.0,0.0,0.31368774282716244,1.0808924,0.00272518474905611,5127
300133,0.0,0.0,0.0,0.0,0.287184125,35.91581726074219,9.0,0.0,150.0,0.0,0.3038325203629211,0.24494897,0.0,0.0,0.0,0.022672092337891102,6611
400158,3.0807843,3.5216663,3.0807843,3.5216663,0.05,20.87363052368164,7.36,0.0,139.26,6.1615686,0.3017584621091373,3.5595505,0.0,21.494008467477627,7.0433326,0.0512439815908894,7310
500195,0.8345099,1.3042985,0.8345099,1.3042985,0.05,28.783180236816406,10.0,0.0,150.0,1.6690198,0.3512406854663277,1.2727922,0.0,0.0,2.608597,0.043481478382291404,7983
600215,1.4996077,1.5315331,1.4996077,1.5315331,0.05,15.49012279510498,10.24,0.0,150.0,2.9992154,0.3162466349772876,1.3573503,0.0,0.0,3.0630662,0.007643937546958455,8650
700265,4.1537256,1.2062083,4.1537256,1.2062083,0.05,14.761112213134766,10.93,0.0,150.0,8.307451,0.31699375703232363,1.601593,0.0,0.0,2.4124167,0.00686371011415764,9317
800315,0.3137255,0.59855014,0.3137255,0.59855014,0.05,14.30827522277832,10.35,0.0,150.0,0.627451,0.31881085289118344,0.8645808,0.0,0.0,1.1971003,0.0065169451355636355,9984
900365,0.0,0.0,0.0,0.0,0.05,26.58993911743164,9.49,0.0,150.0,0.0,0.3230396412452683,0.85434186,0.0,0.0,0.0,0.006056358598051479,10651
1000415,0.0,0.0,0.0,0.0,0.05,12.828629493713379,8.66,0.0,150.0,0.0,0.32445745999808423,0.83928543,0.0,0.0,0.0,0.00743299402544439,11318
1100465,0.0,0.0,0.0,0.0,0.05,8.543651580810547,9.02,0.0,150.0,0.0,0.3278381945716683,0.42379245,0.0,0.0,0.0,0.012554616964900378,11985
1200515,0.050196085,0.36240387,0.050196085,0.36240387,0.05,5.239468574523926,9.79,0.0,150.0,0.10039217,0.3235582562000491,0.5530822,0.0,0.0,0.72480774,0.010995487536818492,12652
1300565,2.5160782,1.5305047,2.5160782,1.5305047,0.05,3.510993480682373,11.18,0.0,150.0,5.0321565,0.3196960762416711,1.6209874,0.0,0.0,3.0610094,0.007703270375926181,13319
1400699,0.51450986,0.85287184,0.51450986,0.85287184,0.05,20.10860824584961,10.58,0.0,150.0,1.0290197,0.31837643372651653,1.1151682,0.0,0.0,1.7057437,0.007139985324614209,13987
1500749,0.0,0.0,0.0,0.0,0.05,5.455883502960205,8.19,0.0,150.0,0.0,0.3218934407480992,1.1974556,0.0,0.0,0.0,0.006197543230291501,14654
1600862,1.8509805,1.8472545,1.8509805,1.8472545,0.05,3.411341905593872,10.99,0.0,150.0,3.701961,0.31592371497827115,1.4035313,0.0,0.0,3.694509,0.007715709183230699,15323
1700914,0.15686275,0.5707735,0.15686275,0.5707735,0.05,2.0524115562438965,9.85,0.0,150.0,0.3137255,0.31424697623879183,0.9733961,0.0,0.0,1.141547,0.007249215576634317,15993
1800932,5.1639223,0.9754997,5.1639223,0.9754997,0.05,3.7314705848693848,9.65,0.0,150.0,10.327845,0.3332129787787562,2.5273507,0.0,0.0,1.9509994,0.021353846842838236,16661
1901066,2.6541178,1.2258761,2.6541178,1.2258761,0.05,4.506907939910889,10.97,0.0,148.85,5.3082356,0.3177194296492962,2.0997856,0.0,11.44235552672613,2.4517522,0.026160710915462744,17331
2001142,1.267451,1.1188351,1.267451,1.1188351,0.05,4.693194389343262,11.38,0.0,150.0,2.534902,0.3214088133280166,0.7586831,0.0,0.0,2.2376702,0.007326541142200946,18002
2101244,8.238431,1.1247137,8.238431,1.1247137,0.05,3.7466976642608643,5.89,0.0,131.97,16.476862,0.2836100995272864,2.774509,0.0,36.697262840707886,2.2494273,0.08230771344589732,18693
2201260,8.840786,0.58923626,8.840786,0.58923626,0.05,3.3453621864318848,2.12,0.0,43.76,17.681572,0.08305591336044017,0.5878775,0.0,22.00369059953352,1.1784725,0.04415721444588149,19458
2301261,9.675294,0.5187771,9.675294,0.5187771,0.05,3.8742544651031494,2.0,0.0,32.08,19.350588,0.05875385622028261,0.0,0.0,0.3059411708155671,1.0375541,0.0024121878511855336,21531
2401271,9.706667,0.80085456,9.706667,0.80085456,0.05,1.2852314710617065,4.07,0.0,106.68,19.413334,0.2039326312195044,1.7335224,0.0,56.52749419530288,1.6017091,0.1111858585816077,23848
2501389,9.73804,0.648919,9.73804,0.648919,0.05,4.8311591148376465,2.29,0.0,44.49,19.47608,0.08262614254432264,0.9305374,0.0,33.18508550538931,1.297838,0.0656771453454169,25849
2601413,9.280002,1.5806162,9.280002,1.5806162,0.05,0.6970360279083252,2.38,0.0,50.02,18.560003,0.0941143670520978,1.0077698,0.0,38.649962483811024,3.1612325,0.07586496827700526,27396
2701516,6.249411,2.1860523,6.249411,2.1860523,0.05,0.9035365581512451,4.23,0.0,120.57,12.498822,0.23590177539444995,1.3845938,0.0,50.97494580673921,4.3721046,0.10199784122347211,29022
2801542,10.861176,0.59323156,10.861176,0.59323156,0.05,2.580641984939575,2.0,0.0,34.02,21.722351,0.06376354952342808,0.0,0.0,0.3994996871087636,1.1864631,0.002909371735638373,31229
2901571,10.49098,0.50258785,10.49098,0.50258785,0.05,1.5554488897323608,2.0,0.0,34.91,20.98196,0.063871113313362,0.0,0.0,0.6339558344238185,1.0051757,0.0029911468377746006,34047
3001602,10.892548,0.4738812,10.892548,0.4738812,0.05,1.2602587938308716,2.0,0.0,34.89,21.785095,0.06447023833985441,0.0,0.0,0.6147357155721472,0.9477624,0.0028624650743939934,36902
3101602,11.86917,1.5257808,11.86917,1.5257808,0.05,0.5936518907546997,2.12,0.03,32.99,23.73834,0.0638033969909884,0.68234885,0.17058722109231983,0.3315116890850155,3.0515616,0.005235694077651005,39908
3201611,11.207556,1.0383613,11.207556,1.0383613,0.05,2.1259872913360596,2.04,0.01,32.98,22.415112,0.060531839948380364,0.397995,0.09949874371066199,0.28213471959331776,2.0767226,0.0021746401506931266,42942
3301640,15.218662,4.477003,15.218662,4.477003,0.05,0.8461357951164246,3.76,0.44,32.61,30.437325,0.06025209883402567,1.9855478,0.4963869458396343,0.7334166619323561,8.954006,0.003289584250014616,45922
3401664,11.886433,2.4793293,11.886433,2.4793293,0.05,0.8859473466873169,2.28,0.07,31.93,23.772865,0.06009327372885309,1.020588,0.25514701644346144,0.43023249528597907,4.9586587,0.005421413712272946,49025
