environment_steps,actor_loss,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,agent2/mean_episode_returns,agent2/std_episode_returns,agent3/mean_episode_returns,agent3/std_episode_returns,entropy,loss,mean_episode_length,mean_episode_returns,mean_episode_time,std_episode_length,std_episode_returns,std_episode_time,updates,value_loss
500000,0.03659463464282453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.47520112991333,0.04446484020445496,500.0,0.0,2.3412873342997047,0.0,0.0,0.00033759216859875047,100,0.015740411123260856
1000000,0.1323902066797018,0.0,0.0,0.0,0.0,0.1,0.29999998,0.0,0.0,3.8511734008789062,12.180184364318848,500.0,0.1,2.1968644418986516,0.0,0.29999998,0.0005322296908757858,200,24.095588207244873
1500000,-0.24050971865653992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.843920111656189,-0.2103601209819317,500.0,0.0,2.3672267255002226,0.0,0.0,0.00019630711375379962,300,0.06029920279979706
2000000,-0.203214006498456,0.0,0.0,0.0,0.0,0.1,0.29999998,0.0,0.0,4.411221146583557,14.961695671081543,500.0,0.1,3.046046262401069,0.0,0.29999998,0.0019958185930427385,400,30.329818725585938
2500000,-0.278664905577898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.886265873908997,-0.2625499628484249,500.0,0.0,2.197933040001226,0.0,0.0,0.00026240623580757715,500,0.03222989058122039
3000000,-0.16534945368766785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.469865322113037,-0.14526304975152016,500.0,0.0,8.792874207600835,0.0,0.0,0.0019258081993222295,600,0.04017280600965023
3500000,-0.17334864614531398,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.29999998,2.9788145422935486,18.518075942993164,500.0,0.1,2.217441560400039,0.0,0.29999998,0.00023193978977863706,700,37.38284873962402
4000000,-0.2324957400560379,0.0,0.0,0.1,0.29999998,0.0,0.0,0.1,0.29999998,3.8383759260177612,39.618401527404785,500.0,0.2,2.1572000359999945,0.0,0.4,0.00022877876782060108,800,79.70179557800293
4500000,-0.08368288818746805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6835729479789734,-0.050005423836410046,500.0,0.0,2.236714998601383,0.0,0.0,0.00037271350843434096,900,0.06735493056476116
5000000,-0.1076049217954278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9188841581344604,-0.10412007942795753,500.0,0.0,2.302589120999619,0.0,0.0,0.00025124015553531316,1000,0.006969681242480874
5500000,-0.017563084882567637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.678853750228882,-0.01572768302867189,500.0,0.0,2.255963867000537,0.0,0.0,0.0004505932322288018,1100,0.0036708037951029837
6000000,0.03207449766341597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3634660840034485,0.044418194447644055,500.0,0.0,2.2302259590003812,0.0,0.0,0.0002743159261801486,1200,0.024687391705811024
6500000,-0.17713416332844645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4433913230896,0.12231029570102692,500.0,0.0,8.160466885799542,0.0,0.0,0.00107851095019917,1300,0.5988889262080193
7000000,-0.1803441010415554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.491999566555023,-0.1475721374154091,500.0,0.0,2.2239146847990923,0.0,0.0,0.00031232263869951805,1400,0.06554393284022808
7500000,0.6515659242868423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9974350333213806,0.7631167620420456,500.0,0.0,2.973778477700398,0.0,0.0,0.0003750114937763968,1500,0.2231016755104065
8000000,-0.1928551159799099,0.1,0.29999998,0.0,0.0,0.0,0.0,0.0,0.0,2.927993059158325,14.227905511856079,500.0,0.1,2.2991568834979264,0.0,0.29999998,0.000574892676505877,1600,28.84152126312256
8500000,0.5081005915999413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6227262020111084,0.5977574735879898,500.0,0.0,2.2475045130013314,0.0,0.0,0.0006138759543195296,1700,0.17931374534964561
9000000,-0.8029019460082054,0.1,0.29999998,0.1,0.29999998,0.1,0.29999998,0.2,0.4,3.287640869617462,59.56945323944092,500.0,0.5,7.964911387499887,0.0,0.67082036,0.0005310492207786173,1800,120.74470901489258
9500000,0.1693163402378559,0.0,0.0,0.2,0.4,0.3,0.45825756,0.2,0.4,2.7851988077163696,62.41511344909668,500.0,0.7,2.2726836963003736,0.0,0.64031243,0.00024238509360070042,1900,124.49159622192383
10000000,-0.08865406084805727,0.1,0.29999998,0.2,0.4,0.0,0.0,0.4,0.48989797,1.787758320569992,48.328858375549316,500.0,0.7,2.1582713363997756,0.0,0.78102493,0.0005225314677351652,2000,96.83502388000488
10500000,-0.4726538024842739,0.2,0.59999996,0.6,0.48989797,0.3,0.45825756,0.4,0.489898,2.1033418774604797,77.22801971435547,500.0,1.5,2.292097431200091,0.0,1.4317821,0.0001935329504022827,2100,155.4013442993164
11000000,-0.4684167951345444,0.2,0.4,0.3,0.45825756,0.2,0.4,0.1,0.29999998,2.016066551208496,32.0081844329834,500.0,0.8,2.1463904285003084,0.0,0.8717798,0.00033034922891939285,2200,64.95320129394531
11500000,-0.3032261859625578,0.4,0.489898,0.5,0.5,0.8,0.6,0.2,0.4,1.8914630711078644,59.802226066589355,500.0,1.9,2.2462643883001876,0.0,1.0440307,0.0005760939736547434,2300,120.21090507507324
12000000,0.11158663406968117,0.6,0.48989797,1.2,0.59999996,0.6,0.48989794,0.8,0.6,1.5852928161621094,77.32553672790527,500.0,3.2,2.2343975198004045,0.0,1.4,0.0002344388595588759,2400,154.4279022216797
12500000,-0.10203411988914013,0.9,0.83066237,0.7,0.45825756,0.9,0.83066237,0.9,0.53851646,1.372299998998642,60.928667068481445,500.0,3.4,2.141493178199744,0.0,1.3564659,0.0006589593376604976,2500,122.06140327453613
13000000,0.2879198491573334,0.9,0.7,1.0,0.4472136,0.7,0.45825756,1.0,0.4472136,1.4462766349315643,51.1788272857666,500.0,3.6,2.1353006731005735,0.0,1.4282857,0.00022042967252406228,2600,101.78181457519531
13500000,0.3560623712837696,0.8,0.4,1.0,0.6324555,0.6,0.48989797,1.0,0.4472136,1.453686773777008,39.78660202026367,500.0,3.4,2.225536613199074,0.0,1.2806249,0.0002851282933921079,2700,78.86108016967773
14000000,0.6501670479774475,1.4,0.66332495,1.0,0.0,1.0,0.6324555,0.6,0.48989794,1.4398435354232788,42.30331516265869,500.0,4.0,2.1615136634994996,0.0,1.4832398,0.00020949754543858794,2800,83.3062973022461
14500000,-0.11044035106897354,1.1,0.53851646,0.9,0.7,1.1,0.7,1.1,0.53851646,1.1939337849617004,37.804874420166016,500.0,4.2,2.2857569745006914,0.0,1.5362291,0.00023913321039457748,2900,75.83063125610352
15000000,0.42161010205745697,1.0,0.4472136,0.7,0.45825756,0.8,0.6,0.7,0.45825756,1.2836332619190216,26.005600452423096,500.0,3.2,2.127914769497875,0.0,1.1661904,0.0003770386232210232,3000,51.16798114776611
15500000,-0.35837201587855816,0.7,0.45825756,1.1,0.7,1.0,0.6324555,1.0,0.6324555,1.307742327451706,27.04127311706543,500.0,3.8,2.2565092091012047,0.0,2.0396078,0.00030023608748843734,3100,54.79929065704346
16000000,-0.05773267685435712,1.1,1.1357816,0.9,0.7,0.8,0.4,0.6,0.66332495,1.036240965127945,23.77366352081299,500.0,3.4,2.2097307966010704,0.0,2.1540658,0.00022816656570205708,3200,47.66279220581055
16500000,0.6291870325803757,1.6,0.8,1.2,0.7483315,1.2,1.1661904,1.2,0.59999996,1.2015033662319183,33.39700984954834,500.0,5.2,2.204966635100573,0.0,2.521904,0.00020583659890354314,3300,65.53564643859863
17000000,-0.06422889605164528,1.1,0.7,1.4,0.66332495,1.1,0.83066237,1.3,0.781025,1.2087228298187256,28.776912689208984,500.0,4.9,2.348854156001471,0.0,1.9209373,0.0002876934127341924,3400,57.68228340148926
17500000,-0.4044097624719143,1.2,1.1661904,1.9,1.2206554,1.3,1.0049876,1.3,0.9,1.2489736080169678,31.564819812774658,500.0,5.7,2.2521571565994236,0.0,3.3481338,0.00030971296921822127,3500,63.938459396362305
18000000,0.16295326128602028,1.6,1.356466,1.0,1.0,1.0,1.183216,1.5,1.3601471,1.1829798221588135,26.20283603668213,500.0,5.1,2.2682427662999545,0.0,3.9357336,0.00018516505887163486,3600,52.07976531982422
18500000,0.5754949226975441,1.0,0.8944272,1.6,0.8,1.1,0.9433981,1.1,0.7,1.144043117761612,23.339049339294434,500.0,4.8,9.1129441960009,0.0,2.4819348,0.0018790102815846408,3700,45.527109146118164
19000000,0.2682331223040819,1.2,0.97979593,1.0,0.4472136,0.9,0.53851646,0.9,0.83066237,1.280049592256546,17.890379905700684,500.0,4.0,2.2198393628990742,0.0,2.1908903,0.0003282395351180581,3800,35.24429416656494
19500000,0.1148115610703826,1.2,1.0770329,1.5,0.8062258,1.3,1.0049876,1.3,0.78102493,1.1496553421020508,23.83887815475464,500.0,5.3,2.323846686800971,0.0,3.0675724,0.00045501485624047447,3900,47.44813346862793
20000000,-0.7568329032510519,1.4,0.8,1.6,0.9165151,1.3,0.64031243,1.3,0.781025,1.1196580827236176,23.299602031707764,500.0,5.6,2.166911081100989,0.0,2.2891047,0.00023428348484161998,4000,48.112871170043945
